,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0421,0.0671,0.0681,0.0713,0.062,0.052000000000000005,0.0502,0.046,0.0436,0.0433,0.0572,0.0719,0.1195,0.1487,0.1715,0.1609,0.1554,0.1484,0.1423,0.1451,0.1433,0.1455,0.1458,0.1458
KM,0.0411,0.037000000000000005,0.0384,0.0388,0.0382,0.0368,0.0413,0.0623,0.1419,0.1663,0.158,0.1498,0.149,0.152,0.1483,0.1496,0.1445,0.1505,0.1472,0.1488,0.1462,0.1516,0.1493,0.15
NFLX,0.0407,0.0366,0.0381,0.037000000000000005,0.0371,0.0373,0.0397,0.0375,0.0391,0.0373,0.0371,0.0371,0.0372,0.0384,0.0381,0.0436,0.121,0.185,0.1907,0.1881,0.184,0.1815,0.17800000000000002,0.1494
SS,0.0393,0.0372,0.1409,0.0381,0.0382,0.038,0.0407,0.0388,0.0412,0.0375,0.0481,0.126,0.1274,0.1343,0.1417,0.1468,0.1506,0.1604,0.1415,0.1526,0.15,0.1508,0.1511,0.142
PLM,0.0412,0.0396,0.0392,0.0385,0.0387,0.0384,0.0412,0.0392,0.0415,0.1347,0.2122,0.201,0.1936,0.1758,0.166,0.1614,0.1597,0.1587,0.1527,0.1546,0.1512,0.1552,0.1549,0.1481
NQO,0.040999999999999995,0.0367,0.0365,0.0368,0.0373,0.0383,0.077,0.1619,0.1592,0.1595,0.1566,0.1552,0.1554,0.1562,0.1518,0.1537,0.1524,0.1525,0.1501,0.1498,0.1469,0.1473,0.146,0.142
SDC,0.043,0.0431,0.0417,0.0423,0.0403,0.0413,0.040999999999999995,0.0401,0.0402,0.0381,0.0385,0.0376,0.0428,0.051,0.0594,0.0973,0.1647,0.1592,0.1493,0.1474,0.14300000000000002,0.1456,0.1442,0.1428
MMC,0.0485,0.0568,0.0544,0.0569,0.0568,0.2123,0.2093,0.1929,0.1851,0.1786,0.1795,0.1699,0.1731,0.1624,0.1612,0.1539,0.1566,0.1475,0.1429,0.1425,0.1433,0.1473,0.1502,0.1566
