,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.042,0.0556,0.0557,0.0436,0.0463,0.045,0.0507,0.0552,0.053,0.0517,0.0497,0.0574,0.0595,0.0827,0.1029,0.1503,0.1698,0.1746,0.1627,0.1668,0.1661,0.1703,0.1735,0.1826
KM,0.0444,0.04,0.0402,0.0376,0.0378,0.0402,0.0423,0.0433,0.0431,0.0427,0.042,0.049,0.045,0.0498,0.0843,0.1943,0.1972,0.1941,0.1862,0.1868,0.1869,0.1822,0.1904,0.1823
NFLX,0.0399,0.0397,0.0408,0.0388,0.0394,0.0394,0.0436,0.0442,0.0442,0.0419,0.0418,0.0432,0.0421,0.0453,0.0467,0.0628,0.1291,0.2069,0.2098,0.2062,0.1971,0.1978,0.1939,0.1769
SS,0.0402,0.0413,0.0437,0.0371,0.0379,0.038,0.0414,0.0421,0.044000000000000004,0.0426,0.0414,0.0511,0.1346,0.1619,0.1772,0.1893,0.1991,0.2119,0.2042,0.2072,0.2083,0.1991,0.1852,0.1817
PLM,0.0463,0.0433,0.0407,0.0393,0.0391,0.0393,0.0434,0.0478,0.098,0.2554,0.2383,0.221,0.2186,0.2233,0.21600000000000003,0.2098,0.20800000000000002,0.2102,0.2049,0.2056,0.2045,0.1954,0.1796,0.1745
NQO,0.0401,0.0406,0.0397,0.0376,0.0381,0.0381,0.0422,0.0426,0.0584,0.1269,0.1762,0.1996,0.2097,0.2114,0.2129,0.2091,0.2144,0.2118,0.213,0.2104,0.2119,0.2007,0.1914,0.1804
SDC,0.0419,0.0477,0.0436,0.0442,0.0409,0.0398,0.0449,0.0426,0.045,0.040999999999999995,0.0414,0.046,0.0417,0.0498,0.0605,0.0985,0.1967,0.20600000000000002,0.204,0.2002,0.2008,0.1969,0.1904,0.1796
MMC,0.0448,0.0553,0.0629,0.0689,0.0681,0.0654,0.0794,0.2293,0.2547,0.2041,0.1907,0.1882,0.1938,0.1927,0.193,0.1912,0.1902,0.1931,0.1912,0.1944,0.1953,0.1922,0.1884,0.1849
