,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0481,0.0958,0.1178,0.1435,0.156,0.1509,0.1594,0.1494,0.1494,0.1395,0.1424,0.1308,0.1424,0.1328,0.1333,0.1334,0.1299,0.134,0.1321,0.1306,0.1288,0.139,0.1355,0.1378
KM,0.0444,0.0394,0.0383,0.0402,0.0385,0.038,0.0537,0.0918,0.1194,0.1384,0.1436,0.1481,0.1491,0.1386,0.139,0.1498,0.1352,0.1403,0.1348,0.1406,0.1361,0.1386,0.1347,0.1338
NFLX,0.0421,0.1719,0.1799,0.1743,0.1649,0.1659,0.1573,0.1545,0.146,0.1412,0.1384,0.1404,0.152,0.14300000000000002,0.142,0.1399,0.1444,0.1517,0.1384,0.1424,0.1442,0.1504,0.1448,0.1423
SS,0.0428,0.0418,0.0411,0.1682,0.0403,0.0385,0.0387,0.0385,0.0387,0.0386,0.0408,0.0904,0.0961,0.1239,0.1325,0.1316,0.1308,0.1335,0.1311,0.1384,0.1397,0.1462,0.146,0.145
PLM,0.0441,0.0438,0.0461,0.044000000000000004,0.0478,0.1074,0.2001,0.1833,0.1696,0.1585,0.1465,0.1421,0.1432,0.1406,0.1365,0.1357,0.1342,0.1368,0.1339,0.1395,0.1425,0.1457,0.1407,0.1422
NQO,0.0448,0.040999999999999995,0.0405,0.042,0.0401,0.0391,0.0395,0.0393,0.0385,0.0392,0.0457,0.1572,0.1564,0.1368,0.1377,0.1321,0.1357,0.1367,0.1348,0.1358,0.1336,0.1394,0.1382,0.1402
SDC,0.047,0.0446,0.0436,0.044000000000000004,0.0427,0.0416,0.0402,0.0412,0.0395,0.0398,0.039,0.0396,0.0406,0.0416,0.048,0.0559,0.0886,0.1514,0.1378,0.136,0.1368,0.139,0.13699999999999998,0.1371
MMC,0.0491,0.07400000000000001,0.0744,0.0772,0.0764,0.07400000000000001,0.1808,0.1993,0.1814,0.1642,0.1589,0.1538,0.1642,0.1561,0.1575,0.1558,0.1508,0.1495,0.1379,0.1454,0.1427,0.1495,0.1536,0.1519
