,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0466,0.0429,0.039,0.0417,0.0388,0.0372,0.0376,0.0371,0.0379,0.0375,0.039,0.04,0.0458,0.0592,0.0771,0.0937,0.1184,0.1216,0.1181,0.11800000000000001,0.1233,0.1304,0.1321,0.1417
KM,0.0423,0.0382,0.0356,0.0378,0.0364,0.0352,0.0348,0.0361,0.0353,0.0356,0.0362,0.0425,0.0571,0.086,0.1142,0.1182,0.1327,0.1356,0.1361,0.1356,0.1365,0.1468,0.1438,0.1457
NFLX,0.040999999999999995,0.0442,0.0529,0.0919,0.13,0.1633,0.1685,0.1622,0.1568,0.1571,0.1536,0.1573,0.158,0.1557,0.1497,0.1477,0.1504,0.1441,0.1491,0.1436,0.1458,0.1425,0.1423,0.1454
SS,0.0413,0.0405,0.0385,0.0389,0.0378,0.0364,0.0362,0.0358,0.0361,0.0373,0.0419,0.099,0.1133,0.1183,0.1158,0.1207,0.1288,0.133,0.142,0.1398,0.13699999999999998,0.139,0.1422,0.1437
PLM,0.0409,0.0426,0.0404,0.0396,0.0382,0.0371,0.0368,0.0366,0.036000000000000004,0.0367,0.0365,0.0408,0.0746,0.1719,0.1612,0.1584,0.1479,0.15,0.1441,0.1415,0.1411,0.1436,0.149,0.1494
NQO,0.0423,0.039,0.0378,0.0395,0.0376,0.037000000000000005,0.0362,0.0354,0.036000000000000004,0.1524,0.1524,0.1504,0.1515,0.1486,0.1475,0.1485,0.1496,0.1397,0.1444,0.1444,0.1441,0.1498,0.1494,0.1487
SDC,0.0442,0.0412,0.0402,0.0411,0.0396,0.0389,0.038,0.038,0.0365,0.0371,0.0357,0.0364,0.0377,0.038,0.0405,0.0455,0.0545,0.1266,0.1502,0.1522,0.1545,0.1477,0.1506,0.152
MMC,0.0456,0.0531,0.0501,0.0521,0.0567,0.0608,0.061,0.096,0.1708,0.1687,0.1517,0.1567,0.1564,0.1558,0.1556,0.1568,0.159,0.1539,0.1543,0.1552,0.1568,0.1605,0.1641,0.1542
