,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0405,0.0697,0.0728,0.0787,0.0982,0.1138,0.1633,0.1918,0.2175,0.2114,0.2148,0.2114,0.2032,0.1935,0.1889,0.1852,0.1805,0.1778,0.1708,0.1789,0.1796,0.18100000000000002,0.1756,0.1702
KM,0.0435,0.0434,0.038,0.040999999999999995,0.0378,0.0378,0.0399,0.0385,0.0383,0.0374,0.0389,0.0448,0.0952,0.1676,0.1773,0.1744,0.1669,0.1643,0.1622,0.1655,0.1647,0.1705,0.16699999999999998,0.1688
NFLX,0.0389,0.0434,0.0384,0.0403,0.0391,0.0401,0.0444,0.059000000000000004,0.0872,0.1731,0.1914,0.1956,0.2069,0.1926,0.2012,0.2003,0.2048,0.2002,0.1913,0.1852,0.182,0.1786,0.17600000000000002,0.1702
SS,0.0386,0.0449,0.0397,0.0417,0.0371,0.0362,0.0356,0.0374,0.0381,0.0371,0.0367,0.0388,0.0409,0.1544,0.1431,0.1469,0.14300000000000002,0.1467,0.1458,0.147,0.1506,0.1518,0.1595,0.1645
PLM,0.0399,0.049,0.0412,0.0421,0.0381,0.0378,0.0375,0.039,0.04,0.0398,0.0441,0.0648,0.1884,0.2065,0.2056,0.19699999999999998,0.2021,0.2008,0.1893,0.1762,0.1766,0.1727,0.1741,0.16699999999999998
NQO,0.0394,0.0402,0.0389,0.0406,0.0391,0.0388,0.0397,0.0436,0.1492,0.2108,0.1974,0.1947,0.1867,0.1817,0.1737,0.1683,0.166,0.1649,0.1605,0.1621,0.161,0.1645,0.1678,0.168
SDC,0.0413,0.0455,0.0426,0.0422,0.0401,0.0394,0.04,0.0391,0.0393,0.0379,0.0382,0.0388,0.0391,0.0407,0.0627,0.0764,0.1342,0.1945,0.1849,0.1741,0.1696,0.1661,0.1635,0.1631
MMC,0.0439,0.0614,0.0628,0.08,0.2324,0.2006,0.1886,0.1797,0.1862,0.1912,0.18600000000000003,0.1925,0.1929,0.191,0.1931,0.1924,0.1819,0.18,0.17300000000000001,0.1738,0.1721,0.17300000000000001,0.1742,0.1679
