,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0462,0.0444,0.0415,0.0435,0.0411,0.0387,0.04,0.0399,0.0405,0.0386,0.0409,0.0381,0.04,0.0427,0.0444,0.0585,0.0719,0.1056,0.1175,0.128,0.1285,0.1383,0.1306,0.1463
KM,0.0445,0.0392,0.0384,0.0394,0.0385,0.0369,0.037000000000000005,0.0377,0.037000000000000005,0.0372,0.0375,0.0376,0.0367,0.0382,0.0396,0.0736,0.0934,0.1239,0.1281,0.1312,0.1281,0.1338,0.1377,0.1432
NFLX,0.0432,0.0447,0.0481,0.0675,0.0975,0.1478,0.1698,0.1623,0.1603,0.1562,0.1516,0.1618,0.1504,0.1487,0.1456,0.1467,0.1519,0.1517,0.1423,0.1389,0.136,0.1412,0.1446,0.1449
SS,0.0442,0.0419,0.0419,0.0416,0.0407,0.0391,0.0395,0.0377,0.0392,0.0397,0.0457,0.1069,0.1116,0.1118,0.1152,0.1168,0.1242,0.1211,0.1346,0.1266,0.1338,0.1377,0.1395,0.14300000000000002
PLM,0.0435,0.0438,0.0437,0.0432,0.0417,0.04,0.0394,0.0418,0.0652,0.1711,0.1609,0.1592,0.1508,0.1506,0.1476,0.1494,0.1496,0.1481,0.1441,0.1432,0.1404,0.1465,0.1448,0.1534
NQO,0.0452,0.0413,0.0405,0.0422,0.042,0.044000000000000004,0.0386,0.0386,0.0627,0.1501,0.1426,0.1549,0.1474,0.1513,0.1477,0.1473,0.1462,0.1474,0.1451,0.1437,0.1438,0.1492,0.1496,0.1486
SDC,0.0464,0.044000000000000004,0.0438,0.0442,0.0432,0.040999999999999995,0.0404,0.0418,0.039,0.0396,0.0375,0.0392,0.0385,0.0407,0.040999999999999995,0.0428,0.0433,0.0479,0.0952,0.14400000000000002,0.142,0.1491,0.1565,0.1494
MMC,0.0502,0.0549,0.0522,0.0513,0.0497,0.0537,0.0649,0.062,0.0581,0.125,0.1557,0.1609,0.1613,0.17300000000000001,0.162,0.1624,0.158,0.1594,0.1544,0.1597,0.1641,0.16699999999999998,0.1687,0.1592
