,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0434,0.0457,0.0446,0.0445,0.0417,0.0411,0.0417,0.045,0.0556,0.0705,0.0952,0.1255,0.1353,0.1438,0.1454,0.1506,0.1566,0.1626,0.1882,0.1908,0.1928,0.1935,0.1916,0.1817
KM,0.0418,0.0416,0.0424,0.0447,0.0423,0.0411,0.0416,0.0439,0.05,0.0428,0.0851,0.1398,0.1434,0.1405,0.1377,0.1358,0.1384,0.1467,0.16,0.1637,0.1664,0.1747,0.1683,0.1837
NFLX,0.0408,0.042,0.0419,0.042,0.040999999999999995,0.0407,0.0458,0.0814,0.1267,0.1787,0.1855,0.1756,0.1634,0.1637,0.1594,0.1652,0.1718,0.1735,0.1957,0.1951,0.19699999999999998,0.1999,0.1967,0.1841
SS,0.0407,0.0416,0.1504,0.0416,0.0405,0.038,0.0374,0.0373,0.0366,0.0382,0.1483,0.1301,0.049,0.0677,0.1249,0.1432,0.16699999999999998,0.1727,0.18899999999999997,0.1915,0.1928,0.1991,0.1932,0.1778
PLM,0.0421,0.0439,0.0462,0.1016,0.2216,0.2177,0.17,0.1656,0.1723,0.1683,0.0406,0.042,0.1901,0.1867,0.1851,0.1868,0.1906,0.18600000000000003,0.1945,0.1997,0.1976,0.1996,0.1955,0.1705
NQO,0.0423,0.0403,0.0408,0.0408,0.0398,0.0392,0.0366,0.0391,0.1351,0.1505,0.1618,0.1749,0.1801,0.1856,0.1869,0.1843,0.1847,0.1831,0.1954,0.1971,0.1954,0.1939,0.1922,0.1779
SDC,0.0442,0.0443,0.0432,0.0445,0.0419,0.0411,0.039,0.0382,0.039,0.0372,0.0372,0.0372,0.0379,0.0404,0.0578,0.1117,0.1644,0.1628,0.1942,0.1951,0.1948,0.1918,0.1854,0.1793
MMC,0.0441,0.0532,0.0524,0.0632,0.0605,0.0581,0.053,0.0561,0.1258,0.1638,0.1577,0.1519,0.1529,0.153,0.1502,0.1484,0.1466,0.1481,0.1538,0.1585,0.1623,0.1683,0.1612,0.1537
