,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0415,0.0535,0.0514,0.05,0.0504,0.0476,0.0519,0.1155,0.1679,0.1645,0.1634,0.1572,0.1538,0.1431,0.1418,0.1419,0.1406,0.139,0.1378,0.1363,0.1471,0.1457,0.1474,0.1478
KM,0.046,0.0438,0.0405,0.0394,0.0397,0.0391,0.0383,0.0409,0.0405,0.1156,0.1556,0.1521,0.1471,0.1417,0.1364,0.1313,0.1354,0.132,0.1324,0.1332,0.1375,0.1388,0.1414,0.1512
NFLX,0.0413,0.0454,0.0392,0.04,0.0392,0.0421,0.0669,0.1056,0.174,0.1743,0.1612,0.183,0.1731,0.1663,0.158,0.1489,0.1405,0.1361,0.1403,0.1445,0.1463,0.1471,0.1473,0.1516
SS,0.0414,0.0432,0.0417,0.0416,0.0402,0.037000000000000005,0.0366,0.0386,0.0388,0.0409,0.0433,0.0729,0.1076,0.1222,0.1307,0.13,0.1339,0.1349,0.13699999999999998,0.1369,0.1397,0.1413,0.1442,0.1465
PLM,0.0444,0.05,0.0449,0.047,0.1662,0.2047,0.1969,0.1862,0.175,0.1604,0.1505,0.1467,0.1466,0.1519,0.1455,0.1444,0.1468,0.1444,0.1445,0.1438,0.1509,0.1541,0.1496,0.1448
NQO,0.0412,0.042,0.0401,0.0415,0.0398,0.0384,0.0387,0.0406,0.1441,0.1464,0.1397,0.1435,0.1467,0.1442,0.1461,0.1433,0.1431,0.1404,0.1432,0.1443,0.153,0.1515,0.15,0.1448
SDC,0.0442,0.0476,0.0422,0.044000000000000004,0.0417,0.0404,0.04,0.0403,0.0394,0.0386,0.0384,0.0391,0.0402,0.0402,0.0456,0.0534,0.1287,0.1423,0.1424,0.1472,0.1547,0.1569,0.1515,0.1431
MMC,0.0464,0.0621,0.0654,0.059000000000000004,0.0705,0.0664,0.2096,0.1829,0.1747,0.1685,0.171,0.1704,0.1656,0.1644,0.1577,0.1558,0.1486,0.1501,0.1471,0.1502,0.1545,0.1551,0.1518,0.1416
