,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.043,0.0488,0.0512,0.0442,0.0442,0.0454,0.0499,0.0566,0.0538,0.0519,0.0542,0.0768,0.0975,0.0987,0.1501,0.1539,0.1834,0.1697,0.1602,0.1667,0.1528,0.1569,0.1568,0.1533
KM,0.0437,0.0413,0.0422,0.0404,0.0377,0.0398,0.0441,0.0462,0.0433,0.0425,0.042,0.0422,0.0413,0.0432,0.0417,0.0409,0.0406,0.0633,0.1474,0.1508,0.1556,0.1543,0.1561,0.1691
NFLX,0.0407,0.040999999999999995,0.0437,0.0425,0.0476,0.0734,0.1293,0.1985,0.2043,0.2048,0.1976,0.193,0.1939,0.1904,0.1813,0.185,0.1818,0.1884,0.1815,0.1849,0.1826,0.1891,0.1827,0.1781
SS,0.0416,0.040999999999999995,0.0403,0.0385,0.037000000000000005,0.0373,0.0414,0.0424,0.0435,0.0416,0.0405,0.0431,0.047,0.054000000000000006,0.0732,0.098,0.1102,0.1472,0.18100000000000002,0.2019,0.2001,0.1961,0.1901,0.1695
PLM,0.0426,0.0467,0.0436,0.0423,0.0412,0.0554,0.2394,0.2249,0.2177,0.2001,0.1957,0.1933,0.19,0.2032,0.1926,0.1926,0.1886,0.1894,0.1867,0.1914,0.1869,0.1959,0.1832,0.1664
NQO,0.0409,0.0417,0.0414,0.0385,0.0389,0.0387,0.0429,0.0447,0.0479,0.0854,0.159,0.1901,0.1797,0.1945,0.1909,0.196,0.2008,0.2021,0.1926,0.1957,0.1957,0.1946,0.1891,0.1738
SDC,0.043,0.0475,0.043,0.0428,0.04,0.039,0.0435,0.0426,0.0451,0.0399,0.0429,0.0406,0.0436,0.0414,0.0446,0.0662,0.1206,0.1976,0.1888,0.193,0.1896,0.1943,0.1898,0.1729
MMC,0.0448,0.0545,0.0481,0.048,0.0601,0.067,0.0789,0.0713,0.2223,0.2044,0.1897,0.1867,0.1888,0.1901,0.1798,0.1858,0.1774,0.1741,0.1682,0.1734,0.1717,0.1783,0.172,0.1747
