,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0438,0.0806,0.0853,0.0734,0.0666,0.0577,0.0667,0.0803,0.1031,0.1281,0.1568,0.1792,0.1762,0.1729,0.1668,0.16899999999999998,0.1664,0.1611,0.1519,0.1507,0.15,0.1571,0.1554,0.1685
KM,0.0423,0.0402,0.0431,0.0378,0.0375,0.0396,0.0445,0.0439,0.0428,0.0442,0.1138,0.1688,0.1601,0.1602,0.1556,0.1539,0.1533,0.1529,0.1466,0.152,0.1407,0.1454,0.1422,0.1525
NFLX,0.0404,0.0397,0.0403,0.0377,0.0371,0.039,0.0517,0.0698,0.0863,0.1254,0.1873,0.1918,0.2023,0.1914,0.1856,0.1764,0.1706,0.1549,0.1541,0.1482,0.1444,0.1412,0.1446,0.1553
SS,0.0412,0.0421,0.0413,0.0401,0.0382,0.0389,0.0426,0.0439,0.0444,0.043,0.0409,0.0411,0.0427,0.044000000000000004,0.0902,0.1435,0.1398,0.1392,0.1379,0.1419,0.1425,0.14300000000000002,0.1476,0.1552
PLM,0.0423,0.0466,0.0438,0.0446,0.047,0.0621,0.1964,0.2128,0.213,0.19699999999999998,0.1852,0.1744,0.1702,0.1582,0.159,0.1503,0.154,0.1523,0.1482,0.1476,0.1461,0.1502,0.1456,0.1589
NQO,0.0415,0.0393,0.0405,0.0388,0.0386,0.0391,0.0458,0.1515,0.2119,0.1805,0.1642,0.1549,0.1583,0.1518,0.156,0.1505,0.1492,0.1469,0.1448,0.1437,0.1432,0.14800000000000002,0.1472,0.1565
SDC,0.0418,0.0469,0.0439,0.0437,0.04,0.0412,0.044000000000000004,0.0427,0.0468,0.0409,0.045,0.0407,0.0438,0.0416,0.0456,0.0517,0.0714,0.1479,0.1593,0.1496,0.1492,0.1466,0.1505,0.155
MMC,0.0438,0.078,0.0749,0.076,0.0905,0.2121,0.2157,0.1961,0.1926,0.1796,0.1786,0.1742,0.1731,0.1619,0.1671,0.1592,0.1594,0.1612,0.1547,0.1525,0.1542,0.1541,0.1511,0.161
