,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0438,0.0818,0.079,0.0715,0.0656,0.0593,0.0532,0.0502,0.0497,0.0531,0.0672,0.0984,0.1222,0.1472,0.1424,0.1417,0.1367,0.1327,0.1411,0.1461,0.1395,0.145,0.1433,0.1465
KM,0.0416,0.0416,0.042,0.0398,0.0405,0.0381,0.0372,0.0526,0.1017,0.1293,0.1377,0.1326,0.1285,0.1229,0.1206,0.1231,0.1195,0.1197,0.1274,0.1297,0.1287,0.1326,0.1368,0.1436
NFLX,0.040999999999999995,0.0429,0.0427,0.0415,0.0405,0.0395,0.0364,0.0362,0.0376,0.0473,0.0898,0.146,0.1571,0.1686,0.1649,0.1577,0.1423,0.1332,0.134,0.1369,0.1374,0.139,0.1377,0.1353
SS,0.0411,0.0452,0.0438,0.0443,0.0399,0.0391,0.0358,0.0359,0.0352,0.0352,0.0353,0.0781,0.1185,0.1119,0.1112,0.1177,0.1191,0.1174,0.1263,0.1302,0.1317,0.1361,0.1356,0.1363
PLM,0.0419,0.0482,0.0465,0.0441,0.0439,0.0775,0.127,0.1586,0.1453,0.14400000000000002,0.1352,0.1256,0.1339,0.1332,0.1293,0.1258,0.1288,0.1254,0.1379,0.1357,0.1356,0.1383,0.13699999999999998,0.1475
NQO,0.0422,0.0425,0.0429,0.0433,0.0408,0.04,0.0372,0.0362,0.0368,0.0479,0.1174,0.1288,0.1285,0.1243,0.1246,0.1236,0.128,0.1277,0.1346,0.1358,0.1329,0.1352,0.1327,0.1369
SDC,0.0427,0.0449,0.0428,0.043,0.0416,0.0401,0.0383,0.037000000000000005,0.0373,0.0359,0.0362,0.0357,0.0365,0.0354,0.0362,0.036000000000000004,0.0398,0.0486,0.0844,0.1355,0.1348,0.1371,0.1313,0.13699999999999998
MMC,0.0437,0.055,0.0568,0.0573,0.0532,0.0528,0.0645,0.1528,0.1501,0.1437,0.1478,0.1502,0.1503,0.1512,0.1479,0.1444,0.1438,0.138,0.1455,0.1392,0.1383,0.1356,0.1379,0.1402
