,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0401,0.0643,0.0624,0.0642,0.0606,0.0519,0.0504,0.0509,0.0483,0.0461,0.0474,0.0488,0.0662,0.0936,0.1363,0.16899999999999998,0.1695,0.1547,0.1472,0.1444,0.1471,0.1428,0.1421,0.1502
KM,0.0451,0.0433,0.0374,0.0399,0.0388,0.0394,0.0402,0.0973,0.1565,0.1644,0.1617,0.1617,0.154,0.0881,0.151,0.1527,0.1533,0.1548,0.1545,0.1589,0.1625,0.1639,0.1621,0.1635
NFLX,0.0404,0.0421,0.0377,0.0399,0.0393,0.0377,0.1011,0.0381,0.0382,0.0808,0.0368,0.038,0.038,0.039,0.0401,0.0476,0.0977,0.1719,0.1988,0.1898,0.1878,0.1821,0.1808,0.1664
SS,0.0395,0.0437,0.0393,0.042,0.0385,0.0371,0.0367,0.0385,0.0386,0.0403,0.057999999999999996,0.1116,0.1304,0.1381,0.1469,0.1552,0.1615,0.1587,0.1685,0.1754,0.1716,0.177,0.1704,0.1562
PLM,0.0412,0.0489,0.0415,0.042,0.0393,0.0376,0.0809,0.0648,0.2101,0.2206,0.2043,0.1853,0.1861,0.1795,0.1678,0.165,0.1636,0.1666,0.1641,0.1723,0.1649,0.1737,0.165,0.1576
NQO,0.0395,0.0412,0.0381,0.0409,0.2087,0.0389,0.1002,0.1692,0.1623,0.1628,0.1564,0.1709,0.1639,0.1673,0.1638,0.1688,0.1616,0.1636,0.1655,0.1699,0.1667,0.1703,0.1625,0.1578
SDC,0.042,0.046,0.0418,0.0439,0.0397,0.0391,0.039,0.0392,0.042,0.0374,0.0368,0.0383,0.0396,0.0432,0.0561,0.0821,0.1593,0.1608,0.1554,0.1621,0.1677,0.1716,0.1657,0.1552
MMC,0.0451,0.0703,0.0708,0.0746,0.228,0.2177,0.1902,0.1769,0.1784,0.1765,0.1668,0.1662,0.1638,0.1596,0.1617,0.1602,0.1606,0.1619,0.1621,0.1711,0.1693,0.1748,0.161,0.1475
