,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0426,0.0478,0.0468,0.0423,0.0447,0.0434,0.0513,0.0585,0.0578,0.061,0.0741,0.1023,0.14300000000000002,0.1696,0.1735,0.1709,0.1662,0.1548,0.1483,0.1528,0.1468,0.1481,0.1491,0.1455
KM,0.0404,0.0399,0.04,0.0377,0.0393,0.0571,0.1106,0.1445,0.1518,0.1471,0.1467,0.1476,0.1459,0.142,0.1379,0.1385,0.1352,0.1358,0.1336,0.1337,0.1329,0.1351,0.1365,0.1409
NFLX,0.0395,0.0384,0.0377,0.0372,0.0369,0.0424,0.0668,0.0735,0.0771,0.0762,0.0924,0.1219,0.1568,0.1818,0.18,0.1619,0.154,0.1528,0.1462,0.1457,0.1422,0.1444,0.1429,0.1403
SS,0.0403,0.0411,0.0392,0.0385,0.0373,0.0383,0.0422,0.0406,0.0442,0.042,0.042,0.0517,0.0627,0.102,0.1261,0.1236,0.1293,0.1332,0.1312,0.1346,0.1345,0.1355,0.1373,0.1399
PLM,0.0415,0.0445,0.042,0.0414,0.0426,0.0581,0.1758,0.2022,0.1924,0.1665,0.149,0.1411,0.1485,0.1491,0.1419,0.146,0.1404,0.1458,0.1388,0.1439,0.1396,0.145,0.1442,0.1467
NQO,0.0414,0.0392,0.0382,0.037000000000000005,0.0375,0.0384,0.0429,0.0444,0.0724,0.1247,0.1447,0.1472,0.1505,0.147,0.1429,0.1418,0.1444,0.1458,0.1413,0.142,0.1399,0.1413,0.1374,0.1376
SDC,0.0428,0.0445,0.0426,0.0427,0.0403,0.0395,0.0446,0.0419,0.045,0.0408,0.042,0.0407,0.0432,0.0458,0.048,0.0481,0.0555,0.1342,0.1587,0.1418,0.1384,0.1411,0.1391,0.1393
MMC,0.0432,0.0739,0.0899,0.0877,0.0753,0.0668,0.0712,0.07,0.0721,0.0685,0.0861,0.1845,0.2034,0.1882,0.1648,0.1589,0.1582,0.1504,0.1496,0.1483,0.1504,0.149,0.1457,0.1426
