,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0404,0.0709,0.0758,0.0787,0.0697,0.0628,0.0575,0.0551,0.0646,0.0814,0.1105,0.1592,0.1727,0.1642,0.1538,0.146,0.1429,0.136,0.145,0.14300000000000002,0.1391,0.1415,0.142,0.14300000000000002
KM,0.0399,0.0459,0.0424,0.0419,0.0399,0.0396,0.0386,0.0564,0.11,0.1395,0.1444,0.1433,0.1353,0.1314,0.1307,0.1271,0.1241,0.1259,0.1335,0.1338,0.1354,0.1382,0.1413,0.1393
NFLX,0.0386,0.0436,0.0432,0.042,0.0406,0.0408,0.0368,0.0379,0.0406,0.0573,0.1034,0.1618,0.1766,0.1827,0.1865,0.1813,0.1551,0.1403,0.1459,0.1429,0.1414,0.1428,0.1439,0.1369
SS,0.0388,0.0438,0.0432,0.0422,0.0402,0.0393,0.0363,0.0395,0.0386,0.0381,0.0384,0.0979,0.1213,0.1196,0.1253,0.1272,0.1303,0.1297,0.139,0.1385,0.1414,0.1407,0.1419,0.1345
PLM,0.0381,0.0486,0.0467,0.0534,0.0924,0.1855,0.191,0.1834,0.16899999999999998,0.1553,0.1456,0.1366,0.1354,0.1378,0.1329,0.1288,0.1337,0.13,0.1376,0.1385,0.1373,0.1425,0.14300000000000002,0.1342
NQO,0.0394,0.0417,0.0412,0.0404,0.0397,0.0383,0.0367,0.0391,0.0603,0.1361,0.1279,0.1288,0.1252,0.1256,0.1287,0.1287,0.1327,0.1317,0.1315,0.13699999999999998,0.1372,0.1409,0.1404,0.134
SDC,0.0411,0.0453,0.0436,0.0413,0.0414,0.0397,0.0382,0.0381,0.0384,0.0367,0.0373,0.0375,0.0382,0.0383,0.0382,0.0393,0.0457,0.0682,0.1239,0.1346,0.1391,0.14300000000000002,0.1399,0.1342
MMC,0.0412,0.057,0.0613,0.0603,0.0596,0.0593,0.1421,0.1785,0.175,0.163,0.1681,0.1661,0.1657,0.1656,0.1611,0.1557,0.1537,0.1476,0.14300000000000002,0.1398,0.1439,0.1423,0.1394,0.1361
