,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0455,0.0806,0.086,0.0826,0.0755,0.06,0.0516,0.0462,0.045,0.0429,0.0428,0.0432,0.0445,0.0424,0.0442,0.042,0.0443,0.0494,0.0639,0.0872,0.1022,0.1327,0.1423,0.1766
KM,0.0421,0.042,0.043,0.0412,0.0417,0.0388,0.0376,0.0361,0.0364,0.0359,0.0372,0.0375,0.0391,0.0579,0.0869,0.1199,0.1236,0.1331,0.1435,0.1472,0.1462,0.1524,0.1569,0.1709
NFLX,0.0409,0.0561,0.075,0.1042,0.1518,0.1734,0.1784,0.1607,0.1548,0.1468,0.1427,0.1443,0.146,0.1432,0.1385,0.1392,0.1381,0.135,0.1428,0.145,0.1418,0.1476,0.1507,0.1601
SS,0.0409,0.0456,0.0473,0.0461,0.0416,0.0402,0.0372,0.0358,0.0365,0.0361,0.0369,0.081,0.1098,0.1094,0.1098,0.1192,0.1219,0.1326,0.1421,0.1435,0.1462,0.1503,0.1525,0.1594
PLM,0.0422,0.0467,0.0473,0.0463,0.0431,0.0416,0.0381,0.0377,0.0371,0.0376,0.038,0.0414,0.0582,0.1678,0.1658,0.1546,0.1457,0.1408,0.1512,0.1465,0.14400000000000002,0.1479,0.154,0.1664
NQO,0.042,0.0434,0.0422,0.0431,0.0418,0.0412,0.0373,0.0365,0.0368,0.1131,0.1485,0.1457,0.1473,0.1489,0.14400000000000002,0.142,0.1395,0.1364,0.1455,0.14400000000000002,0.14400000000000002,0.1484,0.1503,0.1624
SDC,0.0508,0.0476,0.0463,0.0452,0.043,0.0422,0.0392,0.038,0.038,0.0373,0.037000000000000005,0.0376,0.0366,0.0375,0.0369,0.0382,0.0466,0.0907,0.1546,0.1559,0.153,0.1547,0.157,0.171
MMC,0.0457,0.0534,0.0493,0.0496,0.0482,0.0484,0.0462,0.0646,0.1715,0.1594,0.1454,0.1507,0.1531,0.1537,0.154,0.1534,0.1545,0.1554,0.1691,0.1633,0.1616,0.1665,0.1718,0.1743
