,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0462,0.052000000000000005,0.0516,0.0473,0.0467,0.0465,0.0465,0.0474,0.0467,0.0463,0.0511,0.0514,0.0564,0.0548,0.0602,0.0608,0.0629,0.0681,0.0772,0.0858,0.0986,0.0968,0.1033,0.0992
KM,0.0439,0.0435,0.0413,0.0436,0.0421,0.0414,0.0414,0.0424,0.0428,0.0444,0.0525,0.0567,0.0558,0.0653,0.0739,0.0653,0.0716,0.0727,0.0684,0.0789,0.0859,0.0766,0.0841,0.0887
NFLX,0.044000000000000004,0.0432,0.0412,0.0422,0.0423,0.0407,0.0395,0.0412,0.0417,0.0439,0.0572,0.0757,0.0834,0.0923,0.0961,0.1029,0.1027,0.1092,0.1113,0.1162,0.1306,0.1282,0.1204,0.1235
SS,0.0439,0.0469,0.0458,0.0464,0.0444,0.042,0.0413,0.042,0.043,0.040999999999999995,0.0416,0.0429,0.0432,0.0425,0.0472,0.0722,0.0965,0.1188,0.1145,0.1214,0.1305,0.1212,0.1254,0.1326
PLM,0.0459,0.0509,0.0473,0.0473,0.0449,0.0425,0.0433,0.053,0.0723,0.0891,0.1108,0.1175,0.1119,0.1131,0.113,0.1185,0.1238,0.1228,0.1261,0.1216,0.1257,0.1268,0.122,0.1204
NQO,0.0435,0.0433,0.0434,0.0432,0.0426,0.0409,0.040999999999999995,0.0427,0.0414,0.0411,0.0413,0.0433,0.0429,0.0422,0.0432,0.0507,0.064,0.0849,0.0822,0.0935,0.1072,0.1078,0.1015,0.0967
SDC,0.0459,0.0493,0.0466,0.0457,0.0463,0.0436,0.0433,0.0442,0.043,0.0419,0.0426,0.0441,0.0447,0.0431,0.0444,0.0433,0.0438,0.046,0.0437,0.057999999999999996,0.0783,0.08900000000000001,0.0913,0.0805
MMC,0.0507,0.0534,0.0498,0.0472,0.0465,0.0428,0.0447,0.0452,0.0478,0.0611,0.07200000000000001,0.075,0.0703,0.0731,0.0787,0.0882,0.0861,0.0912,0.09,0.0876,0.098,0.106,0.0986,0.0957
