,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0429,0.0517,0.0496,0.0457,0.0457,0.0451,0.0555,0.0608,0.0676,0.0804,0.106,0.14300000000000002,0.1514,0.153,0.1556,0.1726,0.1724,0.1695,0.162,0.1647,0.1627,0.1622,0.1646,0.1494
KM,0.0412,0.0399,0.0396,0.0396,0.0405,0.0519,0.1249,0.1679,0.1592,0.1515,0.1456,0.1465,0.1424,0.1449,0.1431,0.1451,0.1464,0.1448,0.1455,0.1479,0.1496,0.1503,0.1582,0.1555
NFLX,0.0417,0.0398,0.0395,0.0382,0.0397,0.0746,0.1926,0.2294,0.2138,0.1938,0.1744,0.17,0.1645,0.1622,0.1619,0.1618,0.161,0.1624,0.1592,0.1581,0.1578,0.1633,0.1637,0.1585
SS,0.0415,0.0414,0.0405,0.0389,0.0387,0.0385,0.0416,0.0421,0.0428,0.0419,0.0394,0.0426,0.0484,0.0922,0.1298,0.1403,0.1473,0.154,0.1498,0.153,0.1531,0.1541,0.1595,0.1587
PLM,0.0428,0.0532,0.1223,0.222,0.1977,0.1793,0.1798,0.17,0.1731,0.1715,0.1697,0.1706,0.1682,0.1722,0.1689,0.1649,0.1662,0.1633,0.1624,0.1621,0.1605,0.1638,0.1613,0.1583
NQO,0.0406,0.0397,0.0401,0.0384,0.0378,0.0389,0.0442,0.0472,0.1543,0.1503,0.1492,0.1578,0.1619,0.1635,0.1643,0.1617,0.1624,0.162,0.1742,0.1596,0.1597,0.1624,0.1636,0.1557
SDC,0.0421,0.0449,0.0455,0.042,0.0405,0.0414,0.0447,0.0433,0.0448,0.0422,0.0421,0.0427,0.0412,0.0434,0.0544,0.0778,0.1397,0.1674,0.1566,0.1622,0.1671,0.1667,0.1641,0.1551
MMC,0.0442,0.0596,0.0703,0.0742,0.07400000000000001,0.0725,0.0878,0.2133,0.1946,0.1759,0.168,0.1742,0.1694,0.1698,0.1716,0.1706,0.1697,0.1664,0.1634,0.1691,0.1668,0.1703,0.1672,0.1548
