,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0426,0.0422,0.1112,0.0417,0.0389,0.0392,0.0419,0.0429,0.0429,0.0502,0.0743,0.1177,0.1403,0.1541,0.1526,0.1555,0.1552,0.1561,0.1546,0.1553,0.1617,0.1619,0.1714,0.1668
KM,0.0419,0.0384,0.040999999999999995,0.0412,0.0388,0.0396,0.0446,0.0634,0.1107,0.16699999999999998,0.1741,0.1806,0.1799,0.1774,0.1713,0.175,0.1665,0.1711,0.1632,0.1658,0.1637,0.1654,0.1698,0.1671
NFLX,0.0405,0.0387,0.0407,0.0452,0.0581,0.0759,0.1317,0.2308,0.2305,0.2046,0.18100000000000002,0.1785,0.1774,0.1781,0.1711,0.1704,0.1697,0.1679,0.166,0.1656,0.166,0.1681,0.1694,0.16399999999999998
SS,0.0408,0.0396,0.0405,0.0402,0.0401,0.04,0.0417,0.04,0.0413,0.0398,0.0392,0.051,0.131,0.1434,0.1417,0.1432,0.1481,0.1514,0.1531,0.155,0.1572,0.1597,0.1616,0.1645
PLM,0.0431,0.0422,0.0431,0.053,0.1484,0.2167,0.2016,0.1816,0.1792,0.1733,0.1734,0.1736,0.1709,0.1723,0.1673,0.1741,0.1692,0.1678,0.1624,0.1624,0.1607,0.1614,0.1681,0.1648
NQO,0.0421,0.0385,0.0383,0.0388,0.039,0.0383,0.0421,0.0416,0.1601,0.1801,0.1742,0.1728,0.1724,0.1733,0.1686,0.1705,0.1673,0.1653,0.1616,0.1643,0.1597,0.1629,0.1641,0.163
SDC,0.0432,0.0428,0.0411,0.0419,0.0415,0.0414,0.0439,0.0402,0.0433,0.04,0.0398,0.0385,0.0392,0.0405,0.0406,0.0403,0.0438,0.1126,0.1972,0.1701,0.1665,0.1677,0.166,0.1668
MMC,0.0528,0.0555,0.0556,0.0584,0.0555,0.0512,0.0629,0.063,0.0692,0.1466,0.2074,0.1929,0.1911,0.1896,0.1855,0.1847,0.1811,0.1718,0.1691,0.171,0.1686,0.1695,0.168,0.1741
