,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0417,0.0953,0.1106,0.1365,0.1537,0.1665,0.1625,0.1579,0.1544,0.153,0.154,0.1562,0.1576,0.1541,0.1556,0.1576,0.1564,0.1575,0.1678,0.1696,0.1619,0.1672,0.1661,0.16899999999999998
KM,0.0426,0.0435,0.0421,0.0399,0.0409,0.0385,0.0389,0.0557,0.0542,0.1111,0.1275,0.1332,0.1337,0.139,0.1422,0.1387,0.147,0.1407,0.1494,0.1487,0.1477,0.1512,0.1492,0.165
NFLX,0.0414,0.0585,0.0577,0.0508,0.0462,0.0437,0.0405,0.0388,0.0391,0.0403,0.044000000000000004,0.0688,0.0845,0.1241,0.1476,0.1736,0.1746,0.1714,0.1697,0.1678,0.16399999999999998,0.1671,0.166,0.1617
SS,0.0404,0.0456,0.0425,0.0403,0.0386,0.0376,0.0344,0.0343,0.0342,0.034,0.0338,0.0413,0.0394,0.0738,0.1324,0.1362,0.1482,0.1531,0.1561,0.1579,0.1563,0.1602,0.1567,0.1587
PLM,0.040999999999999995,0.0467,0.0463,0.0457,0.0459,0.0447,0.040999999999999995,0.044000000000000004,0.0566,0.1206,0.1706,0.1809,0.1806,0.1669,0.1643,0.1616,0.1605,0.1566,0.1587,0.1618,0.159,0.1637,0.16,0.1633
NQO,0.0422,0.0426,0.0425,0.0401,0.0403,0.0391,0.0357,0.0362,0.0346,0.035,0.0345,0.0379,0.0456,0.1274,0.1702,0.1609,0.1612,0.1561,0.1603,0.1612,0.1586,0.1611,0.1606,0.1616
SDC,0.0432,0.0457,0.0452,0.0428,0.042,0.0403,0.0373,0.0375,0.0359,0.0359,0.0347,0.036000000000000004,0.0347,0.0356,0.0348,0.0363,0.0376,0.0416,0.0905,0.1837,0.1708,0.1669,0.1624,0.161
MMC,0.0443,0.0644,0.0625,0.0573,0.0531,0.0512,0.0469,0.0463,0.0435,0.0443,0.046,0.0518,0.0424,0.0446,0.0486,0.0664,0.1001,0.1609,0.1806,0.1751,0.1705,0.1669,0.1676,0.1672
