,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0427,0.4508,0.0763,0.0684,0.053,0.046,0.0472,0.0465,0.0438,0.0426,0.0427,0.04,0.0415,0.0614,0.0823,0.1063,0.1248,0.1326,0.1313,0.1367,0.1386,0.1429,0.1454,0.1639
KM,0.0409,0.0372,0.0376,0.0369,0.0367,0.0378,0.0399,0.0414,0.0399,0.0404,0.0432,0.0945,0.1298,0.1546,0.1604,0.1641,0.1644,0.163,0.159,0.1617,0.1581,0.1646,0.1662,0.1661
NFLX,0.0409,0.0367,0.0368,0.0366,0.0361,0.0374,0.0401,0.0412,0.0595,0.1053,0.1711,0.1953,0.1968,0.1889,0.1808,0.1781,0.1687,0.1701,0.162,0.1639,0.161,0.1632,0.1625,0.1609
SS,0.0414,0.0388,0.0394,0.0394,0.0392,0.0406,0.0412,0.0403,0.0468,0.11199999999999999,0.1299,0.1341,0.1397,0.1484,0.1539,0.1598,0.1598,0.1629,0.1587,0.1611,0.1616,0.1639,0.166,0.1654
PLM,0.0426,0.0409,0.0403,0.0398,0.0393,0.0394,0.0423,0.0412,0.0418,0.0395,0.0392,0.0397,0.1979,0.1832,0.1786,0.1681,0.1648,0.1625,0.1751,0.1517,0.1963,0.0454,0.0447,0.0556
NQO,0.0416,0.0375,0.0374,0.0382,0.0385,0.0377,0.0407,0.0395,0.042,0.0957,0.1616,0.1627,0.1666,0.1682,0.1645,0.1641,0.1627,0.1641,0.16,0.1582,0.1582,0.1618,0.16399999999999998,0.1613
SDC,0.0428,0.042,0.0414,0.0418,0.0414,0.040999999999999995,0.0434,0.04,0.0437,0.0389,0.0381,0.0389,0.0549,0.0804,0.1119,0.14800000000000002,0.1727,0.1757,0.1671,0.1681,0.1623,0.1604,0.1594,0.1633
MMC,0.0518,0.0536,0.0526,0.0536,0.0501,0.0472,0.0578,0.1443,0.2302,0.19699999999999998,0.1865,0.1789,0.1809,0.1833,0.1806,0.1798,0.1807,0.1727,0.166,0.1701,0.1658,0.1657,0.1685,0.1678
