,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0406,0.0673,0.0699,0.0695,0.0616,0.0522,0.0525,0.0594,0.0729,0.0991,0.1307,0.1614,0.1716,0.1689,0.1605,0.1591,0.1594,0.163,0.1579,0.1618,0.1645,0.1682,0.1724,0.1791
KM,0.0425,0.040999999999999995,0.0378,0.0388,0.0372,0.0365,0.037000000000000005,0.0377,0.0371,0.0361,0.0747,0.1507,0.1528,0.1554,0.1571,0.1507,0.1467,0.149,0.1459,0.1409,0.1425,0.151,0.1521,0.1586
NFLX,0.0379,0.0414,0.0374,0.0399,0.0369,0.0371,0.0374,0.0463,0.0648,0.1428,0.1525,0.1753,0.1755,0.175,0.1767,0.1703,0.1568,0.1547,0.1501,0.1476,0.1495,0.1502,0.1523,0.163
SS,0.0388,0.0426,0.0411,0.0413,0.0377,0.0375,0.0367,0.0374,0.0388,0.0376,0.0378,0.0386,0.0389,0.0395,0.0826,0.147,0.1487,0.1458,0.1467,0.1435,0.1494,0.1474,0.1445,0.157
PLM,0.0392,0.0468,0.0413,0.0409,0.039,0.0399,0.0634,0.1783,0.1889,0.1831,0.1784,0.1679,0.1559,0.1562,0.1619,0.1528,0.149,0.151,0.1449,0.1426,0.1531,0.1558,0.1553,0.1681
NQO,0.0396,0.0405,0.0379,0.0409,0.0383,0.0377,0.0374,0.0378,0.0454,0.1719,0.1543,0.1533,0.155,0.1399,0.1439,0.1417,0.1392,0.1386,0.141,0.1362,0.1478,0.1565,0.1526,0.16
SDC,0.0408,0.0453,0.0408,0.0423,0.0394,0.0385,0.0391,0.039,0.0387,0.0376,0.0383,0.0388,0.0387,0.0392,0.0411,0.0443,0.0516,0.1084,0.156,0.1522,0.1561,0.1587,0.1532,0.1627
MMC,0.0454,0.0553,0.0524,0.0544,0.07,0.1615,0.1698,0.1562,0.1576,0.1567,0.158,0.1638,0.1635,0.1618,0.1659,0.1618,0.1606,0.1606,0.1595,0.1623,0.1648,0.1659,0.16,0.1662
