,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0407,0.0551,0.0501,0.0479,0.0463,0.0442,0.0468,0.0444,0.0456,0.0436,0.0477,0.0469,0.0475,0.0479,0.0492,0.0838,0.0954,0.1665,0.1892,0.1976,0.2024,0.1847,0.1841,0.1862
KM,0.0446,0.0427,0.039,0.0405,0.0386,0.0388,0.0395,0.039,0.0401,0.0381,0.0406,0.0422,0.0436,0.0448,0.051,0.1473,0.195,0.1972,0.2022,0.1956,0.1955,0.2005,0.2021,0.1973
NFLX,0.0407,0.0414,0.0381,0.0396,0.0382,0.0377,0.0382,0.0384,0.0387,0.0373,0.0372,0.0381,0.038,0.0388,0.0412,0.0462,0.0962,0.1956,0.2108,0.2097,0.2008,0.2049,0.2047,0.1982
SS,0.0412,0.043,0.0405,0.0406,0.0387,0.0369,0.0364,0.0374,0.0381,0.0371,0.039,0.047,0.1313,0.1504,0.158,0.1713,0.1751,0.1787,0.1954,0.2003,0.1986,0.2066,0.2022,0.1885
PLM,0.0421,0.0474,0.0434,0.0413,0.0394,0.0375,0.0374,0.0397,0.0434,0.1717,0.2334,0.2094,0.2076,0.2035,0.2013,0.19699999999999998,0.1955,0.1956,0.2011,0.2021,0.2034,0.2026,0.1967,0.187
NQO,0.0406,0.0403,0.0387,0.0402,0.0384,0.0376,0.0365,0.0391,0.0403,0.142,0.1703,0.1943,0.1922,0.192,0.1956,0.1944,0.1884,0.1914,0.1984,0.2014,0.1994,0.2001,0.1961,0.1853
SDC,0.0432,0.0443,0.0418,0.0414,0.0406,0.0398,0.038,0.0396,0.040999999999999995,0.0377,0.0371,0.0395,0.0385,0.0436,0.055999999999999994,0.0717,0.1886,0.1934,0.2027,0.2075,0.2002,0.2073,0.1971,0.1862
MMC,0.0434,0.0532,0.0506,0.0529,0.0607,0.0563,0.0585,0.0774,0.2491,0.2185,0.1933,0.19,0.1886,0.1948,0.1904,0.1934,0.195,0.19399999999999998,0.19699999999999998,0.204,0.1998,0.2035,0.2008,0.1875
