,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0469,0.0448,0.0405,0.043,0.0404,0.0383,0.0389,0.0395,0.0396,0.0393,0.0395,0.038,0.0397,0.0409,0.0411,0.0446,0.0507,0.0678,0.0935,0.1126,0.1229,0.1311,0.1294,0.1577
KM,0.0443,0.0403,0.0388,0.0408,0.0394,0.0374,0.0377,0.0382,0.0383,0.0379,0.0385,0.0387,0.0374,0.0388,0.0394,0.0647,0.0692,0.1156,0.1262,0.1258,0.1244,0.1262,0.1375,0.1575
NFLX,0.0417,0.0405,0.0388,0.0409,0.0397,0.0375,0.0388,0.0393,0.048,0.0596,0.0706,0.1288,0.1543,0.1435,0.1371,0.1431,0.1507,0.1541,0.1571,0.1576,0.1573,0.1601,0.1622,0.162
SS,0.0427,0.0413,0.0408,0.0418,0.0405,0.0374,0.0383,0.0376,0.0383,0.0378,0.0397,0.0438,0.0438,0.044000000000000004,0.0484,0.0907,0.1429,0.146,0.1518,0.1538,0.1556,0.1567,0.1604,0.1564
PLM,0.0441,0.0441,0.0491,0.0887,0.1729,0.1563,0.14800000000000002,0.1468,0.1556,0.1478,0.1517,0.1532,0.1524,0.1503,0.1594,0.1477,0.1517,0.1531,0.1547,0.1513,0.1513,0.1551,0.1543,0.1532
NQO,0.0431,0.0406,0.0404,0.0418,0.040999999999999995,0.0389,0.0384,0.039,0.0384,0.0388,0.0468,0.12300000000000001,0.1728,0.1608,0.1587,0.1544,0.1594,0.1613,0.1601,0.1566,0.1534,0.1555,0.1534,0.1538
SDC,0.045,0.0437,0.0427,0.044000000000000004,0.0434,0.0414,0.0407,0.0404,0.0389,0.0398,0.0383,0.0395,0.039,0.0392,0.0434,0.0645,0.1176,0.157,0.1508,0.1552,0.1456,0.1482,0.1481,0.1561
MMC,0.0475,0.0559,0.0522,0.0594,0.057999999999999996,0.0558,0.0566,0.0573,0.0695,0.1672,0.1583,0.1509,0.1522,0.1531,0.1498,0.1532,0.1524,0.1552,0.1523,0.158,0.159,0.1665,0.1702,0.154
