,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0422,0.0736,0.0791,0.0816,0.091,0.1042,0.1392,0.1707,0.1923,0.1954,0.1959,0.1923,0.1858,0.1862,0.1766,0.1777,0.1763,0.1723,0.17300000000000001,0.17800000000000002,0.1744,0.1762,0.1769,0.1665
KM,0.0414,0.0371,0.0388,0.0375,0.0362,0.0362,0.0392,0.0391,0.0388,0.0383,0.0403,0.0514,0.1292,0.163,0.157,0.1584,0.1548,0.1621,0.1561,0.1632,0.1609,0.1622,0.1628,0.1595
NFLX,0.0393,0.0382,0.0395,0.0384,0.039,0.0412,0.053,0.0636,0.1165,0.1895,0.2112,0.1955,0.2165,0.213,0.2059,0.2055,0.2065,0.1973,0.1899,0.1891,0.1902,0.1846,0.1768,0.1659
SS,0.0392,0.0372,0.0377,0.0383,0.0381,0.0394,0.0391,0.0398,0.0405,0.0388,0.0388,0.0383,0.0502,0.1495,0.1399,0.1386,0.1434,0.14300000000000002,0.1457,0.1464,0.1523,0.1505,0.1548,0.1621
PLM,0.0416,0.039,0.0387,0.0388,0.0386,0.0387,0.0419,0.0411,0.0442,0.0428,0.0427,0.1114,0.2198,0.2238,0.2098,0.2147,0.204,0.205,0.1968,0.1923,0.1828,0.1881,0.1787,0.1661
NQO,0.0396,0.0365,0.0364,0.0372,0.0381,0.0391,0.0426,0.0463,0.1898,0.2132,0.1954,0.1996,0.1878,0.1856,0.1756,0.1771,0.1751,0.1706,0.1674,0.1657,0.1642,0.1659,0.1656,0.1695
SDC,0.0426,0.0422,0.0408,0.0413,0.0399,0.0403,0.0406,0.0398,0.0407,0.0397,0.038,0.0372,0.0392,0.0425,0.069,0.1212,0.19399999999999998,0.1922,0.1857,0.1854,0.168,0.1668,0.1653,0.1638
MMC,0.0473,0.0599,0.0633,0.099,0.225,0.2068,0.2169,0.2093,0.2036,0.2018,0.1987,0.2037,0.2051,0.2009,0.1931,0.1908,0.1872,0.1825,0.1727,0.1746,0.1663,0.1719,0.1716,0.1672
