,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0466,0.0451,0.0449,0.0443,0.0443,0.0392,0.0373,0.037000000000000005,0.0363,0.0364,0.0362,0.0366,0.0362,0.0396,0.0453,0.0689,0.0908,0.1126,0.1205,0.1265,0.1236,0.1314,0.1375,0.1442
KM,0.0439,0.0402,0.0408,0.0414,0.0415,0.0376,0.036000000000000004,0.0362,0.035,0.0352,0.0353,0.0364,0.0349,0.0353,0.0443,0.0784,0.1049,0.1175,0.128,0.1327,0.131,0.1375,0.1403,0.1448
NFLX,0.0435,0.0449,0.05,0.0576,0.0705,0.1116,0.1429,0.1393,0.1308,0.1241,0.1227,0.1244,0.125,0.1278,0.1235,0.127,0.1258,0.1289,0.1328,0.1427,0.1378,0.1424,0.1468,0.1442
SS,0.0433,0.0414,0.0424,0.0426,0.0433,0.0392,0.0382,0.0368,0.0359,0.0365,0.0406,0.0972,0.1023,0.1011,0.1059,0.1091,0.1119,0.1195,0.1308,0.1367,0.1339,0.14,0.1409,0.1464
PLM,0.0443,0.0442,0.0432,0.0441,0.0421,0.0397,0.0398,0.0392,0.0894,0.1512,0.134,0.1303,0.1278,0.1214,0.1233,0.1242,0.1324,0.1385,0.135,0.1408,0.1383,0.1431,0.1401,0.1477
NQO,0.0434,0.0397,0.0402,0.0425,0.0411,0.0375,0.0372,0.0362,0.1126,0.1371,0.1348,0.1348,0.134,0.1354,0.1304,0.1286,0.1305,0.1293,0.1383,0.1399,0.1369,0.1416,0.1406,0.14300000000000002
SDC,0.0439,0.0426,0.0424,0.0436,0.0424,0.0395,0.0393,0.0369,0.0363,0.0359,0.035,0.035,0.0356,0.0375,0.0393,0.0394,0.0415,0.0574,0.1383,0.1434,0.1415,0.1436,0.1442,0.1447
MMC,0.0445,0.0543,0.0514,0.0499,0.0508,0.0523,0.0588,0.0541,0.0556,0.1172,0.1301,0.1341,0.1347,0.1345,0.1352,0.1368,0.1359,0.1368,0.15,0.1537,0.1459,0.151,0.1492,0.1593
