,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0486,0.0441,0.0412,0.0434,0.0406,0.0389,0.0398,0.0397,0.0397,0.0393,0.0408,0.0397,0.0396,0.042,0.044000000000000004,0.0499,0.0598,0.092,0.1281,0.1457,0.1404,0.1423,0.1405,0.1544
KM,0.0453,0.0394,0.039,0.0404,0.0389,0.038,0.0377,0.0393,0.0384,0.0381,0.0385,0.0381,0.0389,0.0396,0.0502,0.1167,0.1363,0.1453,0.1452,0.1396,0.138,0.1413,0.146,0.1548
NFLX,0.0424,0.0399,0.0386,0.0406,0.039,0.0378,0.0385,0.0393,0.0575,0.0604,0.0683,0.1146,0.1545,0.1574,0.1449,0.1457,0.1521,0.1601,0.1608,0.1555,0.1473,0.1532,0.1628,0.1609
SS,0.0432,0.0419,0.0415,0.0426,0.0416,0.0378,0.04,0.0374,0.0382,0.0394,0.0407,0.0474,0.0445,0.0452,0.0625,0.1401,0.1389,0.1523,0.1537,0.1534,0.1578,0.1563,0.1576,0.1591
PLM,0.0426,0.0451,0.0499,0.0973,0.1771,0.1578,0.1538,0.1496,0.1566,0.1576,0.1588,0.1641,0.1621,0.1607,0.1592,0.1591,0.1552,0.1607,0.1567,0.1561,0.1521,0.1566,0.162,0.1647
NQO,0.044000000000000004,0.0401,0.0398,0.0415,0.0413,0.0383,0.0398,0.0371,0.04,0.039,0.0453,0.106,0.132,0.1611,0.1629,0.1584,0.1552,0.1548,0.1527,0.1558,0.1505,0.1527,0.1545,0.1603
SDC,0.0459,0.0446,0.0435,0.0447,0.0436,0.0422,0.0408,0.040999999999999995,0.0397,0.0398,0.039,0.04,0.0404,0.0407,0.0451,0.0616,0.0981,0.1649,0.1533,0.1596,0.1495,0.1533,0.1524,0.1561
MMC,0.0484,0.0554,0.0516,0.0645,0.0677,0.0622,0.0638,0.0629,0.0778,0.162,0.1689,0.1642,0.1563,0.1544,0.14800000000000002,0.1531,0.1536,0.1583,0.1523,0.1575,0.1591,0.165,0.1711,0.163
