,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0455,0.0566,0.057999999999999996,0.0549,0.0511,0.0522,0.055,0.0517,0.053,0.0556,0.0714,0.1111,0.1288,0.14300000000000002,0.146,0.1489,0.1549,0.1558,0.1761,0.1835,0.1775,0.1806,0.1759,0.1651
KM,0.0435,0.0479,0.0441,0.0443,0.0431,0.044000000000000004,0.0462,0.0475,0.0483,0.049,0.0634,0.1394,0.145,0.1376,0.1348,0.1351,0.136,0.1399,0.1544,0.1559,0.1599,0.1693,0.1718,0.1744
NFLX,0.0408,0.046,0.0465,0.0453,0.0423,0.0428,0.0467,0.0711,0.1112,0.1555,0.1799,0.1686,0.1624,0.156,0.1591,0.1608,0.1666,0.1694,0.1882,0.1864,0.1885,0.1916,0.1924,0.1764
SS,0.042,0.0462,0.0456,0.0442,0.0401,0.0395,0.0381,0.0387,0.0406,0.0369,0.0382,0.0404,0.0499,0.0604,0.115,0.1503,0.172,0.1729,0.1858,0.1837,0.1881,0.1971,0.1834,0.1756
PLM,0.0432,0.0504,0.051,0.1291,0.2032,0.1736,0.1613,0.1596,0.1623,0.1645,0.1667,0.1631,0.1862,0.1811,0.17600000000000002,0.1766,0.1808,0.1781,0.1895,0.1896,0.1876,0.1885,0.1872,0.1682
NQO,0.0425,0.0455,0.0431,0.0434,0.0404,0.0398,0.0392,0.0436,0.1394,0.1467,0.1539,0.1708,0.1752,0.1716,0.1786,0.1753,0.1778,0.1737,0.1862,0.1841,0.1873,0.1843,0.1846,0.1704
SDC,0.0441,0.0478,0.0451,0.0446,0.0419,0.0422,0.0417,0.0401,0.0415,0.0389,0.0394,0.039,0.0403,0.0415,0.0535,0.0761,0.147,0.1658,0.1752,0.1795,0.1857,0.1863,0.1865,0.1691
MMC,0.0461,0.0545,0.0573,0.0586,0.0564,0.0546,0.0591,0.0669,0.1777,0.1541,0.1488,0.146,0.1488,0.1485,0.14800000000000002,0.1456,0.1525,0.1531,0.1688,0.1682,0.1774,0.1782,0.1769,0.1608
