,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0474,0.0612,0.0613,0.0562,0.0523,0.0473,0.0492,0.0451,0.0456,0.0439,0.0471,0.0469,0.0644,0.0815,0.1062,0.1381,0.1738,0.1628,0.1736,0.1758,0.172,0.1828,0.1757,0.1869
KM,0.0459,0.0474,0.0462,0.0438,0.0443,0.0418,0.0398,0.0381,0.0384,0.037000000000000005,0.0387,0.0405,0.0398,0.0489,0.0963,0.1705,0.1698,0.1681,0.1758,0.1752,0.1753,0.1789,0.1814,0.1809
NFLX,0.044000000000000004,0.046,0.0477,0.0451,0.0458,0.0428,0.0412,0.0384,0.0399,0.0373,0.0384,0.0384,0.0393,0.0405,0.0444,0.0656,0.1252,0.1636,0.19399999999999998,0.1879,0.1797,0.1851,0.1841,0.1817
SS,0.0437,0.0473,0.0494,0.0482,0.0446,0.0424,0.0404,0.0379,0.0388,0.038,0.0391,0.1641,0.1148,0.145,0.1489,0.1561,0.1711,0.1708,0.191,0.1936,0.19399999999999998,0.1961,0.198,0.1792
PLM,0.0444,0.0498,0.0516,0.0482,0.0456,0.0434,0.0416,0.0423,0.0722,0.2213,0.2035,0.2052,0.1866,0.1886,0.1738,0.1725,0.1805,0.17800000000000002,0.1952,0.1919,0.1932,0.1961,0.1942,0.1806
NQO,0.0446,0.0434,0.0465,0.0436,0.0429,0.0415,0.0393,0.0927,0.1686,0.1688,0.1681,0.1797,0.1706,0.1716,0.17300000000000001,0.1757,0.1779,0.1771,0.1922,0.1918,0.1928,0.1935,0.1947,0.1823
SDC,0.0427,0.0492,0.0493,0.0461,0.0454,0.0429,0.0405,0.0388,0.0392,0.0375,0.038,0.038,0.0394,0.0468,0.0564,0.0645,0.1318,0.1741,0.1868,0.191,0.1935,0.1971,0.1908,0.18
MMC,0.0467,0.0584,0.0583,0.0527,0.0521,0.0502,0.0607,0.2343,0.1957,0.1738,0.1704,0.1688,0.1717,0.1696,0.1687,0.1693,0.1702,0.16699999999999998,0.1849,0.1882,0.1859,0.1882,0.1857,0.1806
