,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0432,0.0836,0.066,0.0693,0.0641,0.0576,0.0545,0.053,0.0504,0.0496,0.0475,0.0523,0.0796,0.1043,0.1545,0.1778,0.1566,0.1497,0.157,0.1606,0.1569,0.1632,0.1643,0.1698
KM,0.0416,0.0461,0.0435,0.043,0.0411,0.040999999999999995,0.0406,0.0497,0.1294,0.1685,0.1637,0.1551,0.1529,0.1473,0.1447,0.1468,0.1471,0.1471,0.1559,0.1577,0.1598,0.1608,0.1644,0.1584
NFLX,0.0402,0.0425,0.043,0.0421,0.040999999999999995,0.0398,0.0369,0.0384,0.0398,0.0374,0.0375,0.038,0.0388,0.0397,0.0395,0.0508,0.1554,0.1961,0.20800000000000002,0.2053,0.2011,0.1976,0.2005,0.1615
SS,0.0397,0.0432,0.0428,0.0422,0.0392,0.0407,0.0366,0.0388,0.0388,0.0381,0.0419,0.1064,0.1255,0.1352,0.1319,0.14,0.1439,0.1479,0.1553,0.16,0.1586,0.1637,0.1623,0.1581
PLM,0.0413,0.0475,0.0453,0.0444,0.042,0.039,0.0384,0.0412,0.0575,0.218,0.2159,0.2064,0.1812,0.1735,0.1609,0.1537,0.1531,0.1526,0.1596,0.158,0.1567,0.1592,0.1596,0.158
NQO,0.0402,0.0418,0.0414,0.0412,0.0406,0.040999999999999995,0.0422,0.1242,0.1578,0.1549,0.1541,0.1515,0.1553,0.152,0.1505,0.1519,0.1536,0.1528,0.1583,0.1575,0.1609,0.1596,0.1596,0.1543
SDC,0.0429,0.046,0.0446,0.0446,0.042,0.0415,0.0394,0.0401,0.0402,0.0385,0.0387,0.0394,0.0424,0.0518,0.0603,0.1652,0.1684,0.1568,0.1589,0.1592,0.1612,0.1617,0.1599,0.1551
MMC,0.0425,0.0571,0.0567,0.0612,0.0795,0.2423,0.2188,0.1841,0.1842,0.1759,0.1697,0.165,0.1616,0.1641,0.1579,0.1543,0.1549,0.1542,0.1546,0.1553,0.1584,0.1602,0.1573,0.1526
