,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0476,0.0451,0.0407,0.0431,0.040999999999999995,0.0391,0.0394,0.0379,0.0402,0.0407,0.0472,0.0633,0.0858,0.1083,0.1441,0.1495,0.168,0.1689,0.1653,0.1557,0.1503,0.1614,0.1696,0.1691
KM,0.044000000000000004,0.0396,0.0375,0.0402,0.038,0.037000000000000005,0.0367,0.0382,0.0371,0.0373,0.0374,0.0366,0.0378,0.0378,0.0381,0.0563,0.1006,0.1536,0.17600000000000002,0.1707,0.1674,0.1664,0.1723,0.17
NFLX,0.0427,0.0398,0.0376,0.0402,0.039,0.0394,0.0449,0.0581,0.0976,0.1771,0.1801,0.1848,0.1988,0.1882,0.184,0.1787,0.1829,0.1793,0.1793,0.1736,0.1717,0.1734,0.1788,0.1858
SS,0.0427,0.0418,0.04,0.0416,0.0397,0.0384,0.0367,0.038,0.0377,0.0387,0.04,0.0452,0.0465,0.0984,0.1462,0.1518,0.1628,0.1574,0.1658,0.1599,0.1694,0.1626,0.1757,0.1737
PLM,0.043,0.0444,0.0424,0.0425,0.0442,0.159,0.2031,0.1963,0.1868,0.1822,0.1781,0.1802,0.1806,0.1705,0.1745,0.16699999999999998,0.1674,0.1733,0.1752,0.1714,0.1662,0.1698,0.1704,0.1704
NQO,0.0446,0.0391,0.0395,0.0414,0.0392,0.0377,0.0383,0.0382,0.038,0.0387,0.0597,0.1652,0.1723,0.1722,0.1682,0.1642,0.1687,0.16699999999999998,0.1722,0.1721,0.1647,0.1636,0.16699999999999998,0.1755
SDC,0.0458,0.0441,0.0425,0.0436,0.0427,0.0412,0.0396,0.0408,0.0385,0.0393,0.038,0.0391,0.0385,0.0396,0.0424,0.0478,0.0541,0.1191,0.1774,0.1702,0.1598,0.1631,0.1652,0.1722
MMC,0.0471,0.0536,0.0496,0.049,0.0472,0.0459,0.0478,0.0501,0.1486,0.1985,0.1842,0.1782,0.1818,0.1838,0.1839,0.1847,0.1825,0.1796,0.1762,0.1704,0.1734,0.1748,0.1848,0.1781
