,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0426,0.0767,0.0803,0.0762,0.0688,0.0646,0.0663,0.0604,0.0713,0.0739,0.0788,0.0868,0.0889,0.1012,0.1327,0.1453,0.1563,0.1561,0.1722,0.1783,0.1788,0.1874,0.1893,0.18899999999999997
KM,0.0422,0.046,0.044000000000000004,0.0432,0.040999999999999995,0.0394,0.0412,0.0431,0.0642,0.0816,0.1323,0.1606,0.1584,0.1678,0.1734,0.1734,0.1786,0.177,0.1929,0.1976,0.1968,0.2023,0.2084,0.2064
NFLX,0.0405,0.0459,0.0447,0.0439,0.0411,0.0407,0.039,0.0378,0.0402,0.039,0.0407,0.0444,0.0477,0.064,0.0879,0.1335,0.1778,0.1877,0.1992,0.2006,0.204,0.2068,0.2067,0.1939
SS,0.0408,0.0438,0.0429,0.0434,0.0396,0.0377,0.0375,0.0386,0.0417,0.0547,0.0768,0.10300000000000001,0.1243,0.1503,0.1598,0.1647,0.1697,0.1735,0.1897,0.1888,0.1873,0.1919,0.1913,0.1878
PLM,0.0418,0.0481,0.0454,0.0443,0.0434,0.0418,0.052000000000000005,0.1074,0.1853,0.1925,0.1938,0.2129,0.1873,0.1897,0.1855,0.183,0.1866,0.1718,0.1921,0.1882,0.1901,0.1907,0.1913,0.1846
NQO,0.040999999999999995,0.0433,0.042,0.042,0.040999999999999995,0.0397,0.0368,0.0385,0.0392,0.0379,0.0428,0.0554,0.0725,0.1118,0.1456,0.1534,0.1662,0.1697,0.1839,0.1853,0.1881,0.1908,0.1897,0.1864
SDC,0.0424,0.0469,0.048,0.0429,0.0433,0.0411,0.0391,0.0396,0.0408,0.0382,0.0383,0.0395,0.0388,0.0402,0.0396,0.0417,0.0497,0.1115,0.1784,0.193,0.1935,0.1957,0.1907,0.1918
MMC,0.0445,0.0528,0.0512,0.0505,0.0486,0.0499,0.0708,0.1503,0.2073,0.1833,0.1781,0.1796,0.1803,0.1808,0.1868,0.1845,0.1925,0.1836,0.1894,0.1938,0.1948,0.1918,0.1909,0.1926
