,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0444,0.0693,0.0766,0.0782,0.0666,0.0615,0.0694,0.0701,0.0853,0.1045,0.1348,0.1499,0.1605,0.1691,0.1656,0.1638,0.1574,0.1596,0.1612,0.1702,0.1694,0.1687,0.1711,0.1771
KM,0.0414,0.039,0.0407,0.0399,0.0386,0.0375,0.0373,0.0624,0.1214,0.1646,0.1646,0.1714,0.1592,0.16399999999999998,0.1562,0.1593,0.1562,0.1581,0.1596,0.1619,0.1669,0.1624,0.1711,0.1704
NFLX,0.0404,0.043,0.0476,0.0496,0.0568,0.0748,0.1178,0.1567,0.1807,0.18600000000000003,0.1859,0.1878,0.1878,0.1872,0.1754,0.1765,0.1702,0.1742,0.1753,0.1782,0.1829,0.1802,0.1774,0.1705
SS,0.0402,0.0412,0.0424,0.0415,0.0409,0.0377,0.0386,0.0376,0.0396,0.0473,0.0828,0.1405,0.132,0.1387,0.1324,0.1429,0.1438,0.1537,0.1608,0.1677,0.1696,0.1742,0.1796,0.1655
PLM,0.042,0.0432,0.0432,0.042,0.0419,0.0395,0.0395,0.0434,0.1605,0.2066,0.1992,0.1947,0.1891,0.1816,0.1777,0.16899999999999998,0.1716,0.1707,0.1802,0.1775,0.1819,0.1828,0.179,0.1704
NQO,0.0418,0.0406,0.042,0.0407,0.0409,0.0388,0.0375,0.0389,0.1135,0.1799,0.1754,0.1788,0.1723,0.1702,0.1658,0.1687,0.1694,0.1679,0.1735,0.1721,0.1763,0.1774,0.1741,0.1725
SDC,0.0435,0.0428,0.0436,0.0426,0.0425,0.0387,0.0397,0.0383,0.0387,0.037000000000000005,0.0366,0.0379,0.0382,0.039,0.0397,0.0494,0.0662,0.1796,0.1771,0.1715,0.1712,0.1739,0.1732,0.1759
MMC,0.0429,0.0538,0.0626,0.0888,0.1713,0.1856,0.1979,0.2019,0.1744,0.1625,0.1588,0.1654,0.1619,0.1683,0.1674,0.1604,0.1619,0.1595,0.1636,0.1693,0.1694,0.1751,0.1702,0.1777
