,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0433,0.0635,0.0651,0.0705,0.0757,0.0871,0.11,0.1323,0.1508,0.1651,0.1563,0.1567,0.1598,0.158,0.1582,0.1587,0.1632,0.1614,0.1728,0.1774,0.1693,0.1748,0.1721,0.1659
KM,0.0427,0.0433,0.0431,0.0404,0.0416,0.0409,0.0474,0.0835,0.12,0.1366,0.138,0.1441,0.1481,0.1479,0.1504,0.1461,0.1456,0.1478,0.1546,0.1543,0.1562,0.1539,0.1576,0.1684
NFLX,0.0418,0.0594,0.0677,0.0627,0.0554,0.0486,0.0433,0.0423,0.0446,0.0537,0.0637,0.0771,0.0753,0.1207,0.1411,0.1561,0.1741,0.1699,0.1723,0.1721,0.1641,0.1661,0.1635,0.1677
SS,0.0418,0.0446,0.0454,0.0439,0.0406,0.0392,0.0362,0.0359,0.0358,0.0356,0.0373,0.0435,0.0482,0.081,0.1281,0.1311,0.1401,0.1433,0.1528,0.1553,0.1571,0.1574,0.1555,0.1612
PLM,0.044000000000000004,0.0477,0.0466,0.0443,0.0439,0.0419,0.0415,0.0475,0.0662,0.1004,0.1558,0.1682,0.1651,0.1584,0.1563,0.1554,0.1578,0.1594,0.1642,0.1636,0.1621,0.166,0.1602,0.1602
NQO,0.0424,0.042,0.0427,0.0409,0.040999999999999995,0.0387,0.0366,0.0361,0.0352,0.0365,0.0364,0.0404,0.0442,0.1066,0.1575,0.1611,0.1614,0.159,0.1647,0.1632,0.1625,0.1693,0.1645,0.1685
SDC,0.0432,0.0473,0.0445,0.0423,0.0427,0.0399,0.0386,0.0374,0.0376,0.0367,0.0361,0.0364,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0375,0.0395,0.0416,0.0481,0.0779,0.114,0.1802,0.1671,0.1701
MMC,0.0458,0.0643,0.0609,0.0605,0.0553,0.0451,0.0433,0.0451,0.0624,0.0758,0.0788,0.0929,0.0923,0.0959,0.1043,0.1047,0.1356,0.1686,0.1886,0.188,0.1721,0.171,0.17,0.1729
