,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0443,0.0468,0.0453,0.044000000000000004,0.042,0.0414,0.042,0.0423,0.0439,0.0515,0.0658,0.1003,0.1176,0.1449,0.1428,0.1462,0.1506,0.1581,0.1747,0.17600000000000002,0.1849,0.1822,0.1813,0.1658
KM,0.0429,0.0416,0.0421,0.0426,0.0408,0.04,0.0406,0.0442,0.0454,0.0492,0.075,0.138,0.1436,0.1338,0.1304,0.1287,0.1355,0.1373,0.1538,0.1563,0.1615,0.1619,0.1636,0.1661
NFLX,0.0418,0.0428,0.0425,0.0422,0.0413,0.0415,0.0534,0.085,0.1239,0.1836,0.1671,0.1607,0.1567,0.1575,0.1603,0.1575,0.1605,0.1668,0.1845,0.183,0.1864,0.1863,0.1863,0.1719
SS,0.0411,0.0433,0.042,0.1941,0.0406,0.0391,0.0359,0.0372,0.0377,0.0384,0.0363,0.0444,0.0532,0.0789,0.1296,0.1567,0.1685,0.1664,0.1825,0.1822,0.18600000000000003,0.1871,0.1813,0.1616
PLM,0.0421,0.0482,0.0808,0.2118,0.1808,0.1539,0.1554,0.1617,0.1641,0.1652,0.1675,0.1773,0.1758,0.171,0.1635,0.1713,0.1736,0.1766,0.1844,0.1902,0.1872,0.1866,0.1847,0.1615
NQO,0.0422,0.0407,0.0415,0.0408,0.0403,0.0382,0.0359,0.0804,0.15,0.1501,0.1566,0.1647,0.1642,0.1715,0.1706,0.1734,0.1725,0.1758,0.1857,0.1839,0.1884,0.1823,0.1804,0.1621
SDC,0.0445,0.0437,0.0436,0.0433,0.0424,0.0395,0.0385,0.0394,0.0385,0.0371,0.0365,0.0375,0.037000000000000005,0.0404,0.054000000000000006,0.0835,0.1597,0.1629,0.1815,0.1842,0.1866,0.1844,0.1863,0.161
MMC,0.0445,0.0585,0.0587,0.063,0.0612,0.0582,0.0572,0.064,0.1603,0.1627,0.157,0.1539,0.1522,0.153,0.1484,0.1465,0.1464,0.1471,0.1539,0.153,0.1571,0.1574,0.1542,0.1537
