,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27
TET,3.6052587322642817,3.2350673536691588,2.848188665264652,3.4778588259728025,3.0611101549937167,2.8162534976370965,2.2892452183516707,2.1936936729525414,2.017604244249146,2.0898477414094603,1.9304812204405617,2.3216413394531887,2.366256876996036,2.2511361975931177,1.7823434235922335,2.0195695038749,2.3482011456718097,2.2810085007717857,2.4359528741195886,2.3387682584647167,2.244892378708016,2.5300837198543653,2.2374713124562464,1.93150397730788,1.6387675217163755,1.705743977482412,1.85553103488396
KM,2.568781425759617,2.0640981032330785,2.66224955031646,2.4642184756057723,2.8084465122209723,3.2040174161314923,3.152281403718027,3.499618448184663,3.2368850145206545,3.453425233669372,3.3807043868774334,3.7037006682872073,3.911688663075873,4.216037345881596,3.889275188496634,4.333890279415509,4.8992765329184245,4.87225239962423,4.882471446303518,4.878742369831858,4.884351642786366,5.109088582199955,5.892072222742691,5.734516810594897,5.642981005642447,5.516529605761635,5.742802490769463
NFLX,-0.6005365387579082,-0.9535829155712372,-0.6213355203523203,-0.8477763155717322,-0.8069669404297082,-0.7123736942160785,-0.8659664063671848,-0.8383625572902591,-0.9472008519178858,-0.8372797876405416,-0.8701243150470386,-0.8534675155495914,-1.0922709611661503,-0.9631698131368098,-1.3460320605364169,-1.1439573710791957,-0.9916871918323472,-1.348539019746753,-1.1499071598221182,-1.2464330057185522,-1.194743344668219,-1.2188240075909642,-0.9837757178241302,-1.81321892436626,-1.6603952266828956,-1.680511256543457,-1.6532774013812894
SS,6.42502981976051,6.277550786266509,6.4102816396690105,6.0508636766941,6.033836872740643,6.2737741766363895,6.078622975856612,6.229448381917592,5.523870794667005,5.794381741874273,6.0047298077634155,6.289749636281653,6.385206398477408,6.694713484159029,6.385527038197986,6.465812849172024,6.261202897081502,5.7464444932462815,6.350581581524785,5.935402697049192,5.8541882318708005,6.004241798685801,6.287600741903522,6.069294797507638,6.128253894349285,6.034976571441683,6.189611823434298
PLM,2.2734834501474266,1.0625534314464251,2.2437658655965467,1.7980881959668933,1.8012243921950706,3.4715658718456885,1.9670119975780285,3.7744778852981633,2.311385087403056,2.2120971771014144,2.4883725497708875,3.2692400622158213,3.2779616775940754,3.798789490832114,3.1749033232100903,3.374279501497913,3.800050224179385,3.277007217064794,3.3058287651855136,2.8131747222543444,3.577525840131372,3.8920391718352105,4.788877727002927,4.300700267414479,4.474141484552186,4.743914295170558,4.311993516141763
NQO,-0.07131368142748151,0.44252466378787503,1.7968445790704717,0.9827793437670982,1.467689912475049,1.5083659044312765,0.004389542170327054,1.5113068676881585,-0.3844436058804988,0.4449327563023706,0.12295790011630993,0.9847422067971492,1.4573571712307074,1.409656786128655,0.21989525879302368,1.0072745434276054,0.9907964755319912,-0.23889842357521296,0.748863560334585,-0.07285689406636298,0.2835877049130033,0.26068224098538995,0.4716268219736497,-0.4343667787650993,0.00864179259476927,0.29052901271992937,-2.5970903085299435
SDC,-0.6821776336314285,0.01690750300565025,-0.26667747699327204,-0.23057254338685865,-0.21151396489474994,-0.20635667017518333,-0.8738937153624606,-0.20731843793222549,-0.3774746595360368,0.29683262185542336,0.19075510384222216,0.3058440902710116,0.29408197291262983,0.376684377120772,-0.34065282097121585,0.03028984572553828,0.28524464067150296,-0.19590018472834725,0.010026820361990652,0.06707244267712742,0.17028470628624515,0.2714461688195291,0.01623490810360817,-0.2153751076059871,-0.12472270022007324,-0.10077222511805584,0.2271880892987115
MMC,2.3447291356403652,2.4835413048676243,2.497125409216129,2.3953382498471583,2.4799112188994585,2.023924043250708,2.4806243550118987,2.4725241732367294,2.4835430420666698,2.506498155984865,2.513838276719681,2.4651842662456747,2.451367545652788,2.003058747335416,1.982831086766608,1.9804077093261416,2.4820349755003006,1.9920054584413125,1.9569629576897367,1.9895848899154704,1.9889982675177804,1.988117301614607,1.9902007504896344,0.939093277158666,0.9874201698512444,0.9814140134241708,0.7832978793551222
