,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14
TET,1.6318061601583378,0.9690291612686036,0.7486907330882309,1.1450509295876965,0.9581840206565206,0.9700436266769792,0.7680214673954966,0.659940171798338,0.5723008510443499,0.4599106126382946,0.2137596028331505,0.2983322419628127,0.7281987946925348,0.8906089707263363
KM,2.5753826150236314,2.8638481212192386,2.957356392741871,2.9585927059820207,3.026097224586034,2.9240554919419486,2.84018621721763,3.2826335503923536,3.5365363834176433,3.9936278999020582,3.543842465365292,3.6814223266631783,3.903619100160504,4.069523203544355
NFLX,-1.0364407886840372,-0.9895645127050549,-1.119331970190814,-1.1918219172939415,-1.140022875607941,-1.1661630046678921,-1.203900265129622,-1.1742728607177402,-1.1405021354672005,-1.1194273978088058,-1.329000660539562,-1.2941521002187666,-1.3324037545520038,-1.2153283819481424
SS,7.755908648349005,7.8655333552570905,7.843815297988822,7.954616185811702,7.891798990602263,7.578107926981461,7.374783076186379,7.8748483923187935,7.611871515555753,7.881099568314749,7.54137240199373,7.605923016622191,7.775380986624729,7.966209606714332
PLM,2.2016122089807406,1.9848967335013403,2.27501995905942,0.5073538079006825,2.005932081635493,1.424863933274369,0.9275684007447637,2.721951089948731,2.1219096285813115,3.7487080881242436,3.28612540275991,3.327431777912873,3.4565689605544447,3.748561993430597
NQO,-0.12547904879803262,0.005088958291475265,0.22114327429196035,-0.10896700828943473,0.4357308660958044,-0.4690569947665484,-0.261727005302804,0.2273623687781328,-0.18229319369803945,0.04036185982092988,-0.5575200810269543,-0.3588037684210689,-0.19795359522241893,0.00847723017345725
SDC,0.01576741033484108,0.4831706970358906,-0.053101097961062216,0.0658947718664491,0.004228611299823547,0.04501053568777191,-0.13102964379467166,-0.2915778589595499,-0.1012251562695612,0.0018865407809256496,-0.3738196265678626,-0.4667058875828696,-0.40337493528903945,-0.008543721174459229
MMC,0.5342159955046246,0.9606299538080204,0.6104517166107302,0.9317263655318939,0.9548914576715548,0.6837266300819409,0.5681143772946844,0.571564642990881,0.4978585268223652,0.4812859210800013,0.04110164024605023,0.4197439454556475,0.4373015289252562,0.4591894712206814
