,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0449,0.0684,0.0695,0.0686,0.066,0.0608,0.0589,0.0513,0.0518,0.0487,0.0485,0.0508,0.051,0.0486,0.0479,0.0488,0.0492,0.0478,0.0541,0.0617,0.0745,0.1039,0.1306,0.1657
KM,0.0426,0.047,0.0448,0.0436,0.0422,0.0405,0.040999999999999995,0.0412,0.0419,0.0423,0.0436,0.0496,0.0535,0.0947,0.1203,0.1316,0.1366,0.1398,0.1484,0.15,0.1474,0.1593,0.1614,0.1538
NFLX,0.0408,0.054000000000000006,0.0631,0.084,0.1201,0.1689,0.1694,0.1617,0.1566,0.1507,0.1469,0.1469,0.1503,0.1486,0.1457,0.1478,0.1445,0.151,0.1552,0.1532,0.15,0.1557,0.1521,0.1534
SS,0.040999999999999995,0.0437,0.0459,0.0441,0.0412,0.0392,0.0396,0.0401,0.0413,0.0415,0.0455,0.1131,0.1085,0.1196,0.1241,0.1385,0.142,0.1478,0.1549,0.1519,0.1509,0.1556,0.1545,0.1562
PLM,0.0413,0.0473,0.0465,0.0456,0.0436,0.0413,0.0402,0.040999999999999995,0.0412,0.042,0.040999999999999995,0.0477,0.0561,0.1717,0.1619,0.1563,0.161,0.1503,0.1565,0.1522,0.14800000000000002,0.1511,0.151,0.1512
NQO,0.0418,0.0441,0.0422,0.0434,0.0411,0.0415,0.039,0.0404,0.0517,0.1511,0.1486,0.1553,0.149,0.1474,0.145,0.14400000000000002,0.1469,0.1459,0.1495,0.1508,0.1488,0.1495,0.1514,0.1513
SDC,0.0433,0.0456,0.0475,0.0434,0.0426,0.040999999999999995,0.0402,0.04,0.0414,0.0394,0.0392,0.0408,0.0396,0.0432,0.0461,0.0596,0.1095,0.1588,0.1599,0.1566,0.1494,0.1525,0.1524,0.1562
MMC,0.0457,0.0532,0.0521,0.0544,0.0598,0.0583,0.065,0.0856,0.1644,0.1551,0.1486,0.1501,0.1523,0.1516,0.1498,0.1461,0.1493,0.1484,0.1541,0.1501,0.1512,0.1542,0.1514,0.1565
