,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0451,0.0727,0.0726,0.0714,0.0648,0.063,0.0598,0.0542,0.0548,0.0505,0.0521,0.0515,0.0535,0.0505,0.0512,0.0504,0.0505,0.0482,0.0546,0.0628,0.0721,0.0937,0.1245,0.1622
KM,0.0429,0.0488,0.0459,0.0452,0.0427,0.0434,0.0428,0.0423,0.0438,0.0424,0.0466,0.0515,0.0558,0.0917,0.1228,0.1334,0.1376,0.136,0.1474,0.147,0.1471,0.1586,0.1615,0.1594
NFLX,0.0407,0.0559,0.0636,0.0807,0.1208,0.1718,0.1734,0.161,0.1575,0.1508,0.1527,0.1518,0.1567,0.1529,0.1472,0.1467,0.1473,0.1459,0.1571,0.1511,0.1494,0.1536,0.1561,0.1554
SS,0.0414,0.0447,0.0452,0.0434,0.0416,0.0417,0.0391,0.0412,0.0421,0.0428,0.0467,0.10800000000000001,0.113,0.1181,0.1193,0.1308,0.1417,0.1432,0.1566,0.1526,0.1544,0.1541,0.1514,0.156
PLM,0.042,0.0492,0.0474,0.0474,0.0451,0.0416,0.0397,0.0422,0.040999999999999995,0.0423,0.040999999999999995,0.0476,0.059000000000000004,0.1744,0.1639,0.1557,0.1554,0.1549,0.1603,0.155,0.1529,0.1539,0.1567,0.1559
NQO,0.0422,0.044000000000000004,0.0444,0.0431,0.0425,0.0415,0.0386,0.0411,0.0445,0.1546,0.1554,0.1585,0.1464,0.1533,0.1488,0.1476,0.1475,0.1492,0.1498,0.1527,0.1522,0.1538,0.1548,0.1514
SDC,0.045,0.0464,0.0464,0.0438,0.0441,0.0424,0.0402,0.0418,0.0407,0.0409,0.0398,0.0408,0.0402,0.0431,0.0452,0.0582,0.1065,0.1515,0.1565,0.1518,0.1466,0.1516,0.1507,0.152
MMC,0.0475,0.0539,0.0504,0.0546,0.0587,0.0587,0.0605,0.0864,0.17,0.1653,0.1512,0.1547,0.1534,0.1538,0.1541,0.1496,0.1538,0.1529,0.1561,0.153,0.1544,0.1582,0.1553,0.1525
