,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0453,0.0589,0.0566,0.0497,0.0522,0.0455,0.0469,0.0481,0.0557,0.0672,0.08900000000000001,0.1254,0.142,0.1483,0.1506,0.1481,0.1467,0.1403,0.1448,0.1444,0.1395,0.1431,0.1457,0.1466
KM,0.0435,0.0441,0.0446,0.0438,0.0564,0.0982,0.1244,0.1162,0.1193,0.1214,0.1175,0.1172,0.1167,0.1136,0.1137,0.1141,0.1127,0.1134,0.1197,0.1192,0.1213,0.1239,0.1284,0.1371
NFLX,0.0416,0.0421,0.0431,0.0417,0.0409,0.0396,0.061,0.1054,0.1552,0.1505,0.1388,0.139,0.1357,0.1317,0.1227,0.1266,0.121,0.1242,0.1213,0.1324,0.1236,0.1264,0.1268,0.1332
SS,0.0423,0.0446,0.0458,0.0451,0.0405,0.039,0.0366,0.0357,0.0363,0.035,0.0366,0.0392,0.0395,0.0775,0.109,0.1065,0.1134,0.1163,0.1214,0.1231,0.1246,0.1285,0.1261,0.1364
PLM,0.044000000000000004,0.0476,0.0479,0.0455,0.0475,0.1302,0.1689,0.154,0.1448,0.1434,0.1257,0.1267,0.1273,0.1231,0.1182,0.1173,0.11699999999999999,0.1181,0.1228,0.1212,0.1221,0.1246,0.1254,0.1395
NQO,0.0431,0.043,0.0443,0.0441,0.0421,0.0405,0.0388,0.0372,0.0375,0.0373,0.0381,0.0491,0.1375,0.1199,0.1201,0.1169,0.1201,0.1173,0.1294,0.1244,0.1265,0.1274,0.1256,0.136
SDC,0.0443,0.0471,0.0467,0.0457,0.0433,0.0421,0.0393,0.0379,0.0391,0.0374,0.037000000000000005,0.037000000000000005,0.0373,0.0374,0.0473,0.0903,0.1461,0.1345,0.1314,0.1284,0.126,0.1287,0.1262,0.1367
MMC,0.0463,0.0546,0.0647,0.0651,0.0612,0.06,0.0605,0.1407,0.1834,0.1516,0.1428,0.1407,0.1416,0.1365,0.1305,0.1296,0.1321,0.1303,0.1328,0.126,0.133,0.1336,0.1392,0.1443
