,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0396,0.0765,0.0795,0.0785,0.0702,0.0635,0.0676,0.0669,0.0646,0.0576,0.0577,0.0552,0.0516,0.0589,0.0965,0.1577,0.1777,0.1677,0.1588,0.1595,0.1611,0.1681,0.1609,0.1658
KM,0.0439,0.0498,0.0408,0.0487,0.1109,0.1623,0.1667,0.1621,0.1549,0.1448,0.1462,0.1469,0.1412,0.1438,0.1456,0.1427,0.1424,0.1457,0.1449,0.1474,0.1469,0.1522,0.1537,0.1567
NFLX,0.0389,0.0471,0.0388,0.0387,0.037000000000000005,0.0358,0.0355,0.0359,0.0362,0.035,0.0364,0.0364,0.0366,0.0415,0.055,0.0735,0.1482,0.1819,0.1815,0.1854,0.1844,0.1764,0.1782,0.1613
SS,0.0388,0.0491,0.0407,0.0402,0.037000000000000005,0.0352,0.0359,0.0366,0.0376,0.0367,0.0404,0.0994,0.1318,0.1288,0.1323,0.1362,0.1413,0.1434,0.1476,0.1485,0.1504,0.1556,0.1594,0.1558
PLM,0.0404,0.0543,0.0438,0.0409,0.0411,0.1154,0.231,0.2191,0.2123,0.1929,0.1779,0.1618,0.1584,0.1598,0.152,0.1491,0.1535,0.1526,0.1527,0.1524,0.1543,0.1579,0.1599,0.1572
NQO,0.0388,0.0475,0.0404,0.0394,0.0387,0.0362,0.0403,0.1485,0.1509,0.14800000000000002,0.14800000000000002,0.1501,0.1535,0.1501,0.1532,0.1494,0.1502,0.1489,0.1551,0.1504,0.1555,0.1573,0.1566,0.156
SDC,0.0418,0.0537,0.0441,0.0419,0.0398,0.0378,0.0382,0.0381,0.0377,0.0366,0.0362,0.0376,0.0368,0.0384,0.0483,0.0594,0.0875,0.1453,0.1619,0.1554,0.1583,0.1595,0.1636,0.1573
MMC,0.0439,0.0617,0.0556,0.0534,0.0539,0.2443,0.2309,0.2041,0.1868,0.1792,0.1761,0.17800000000000002,0.1702,0.1686,0.1629,0.1592,0.1596,0.1589,0.1566,0.1638,0.1647,0.1619,0.1672,0.1643
