,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0404,0.0549,0.0539,0.0524,0.0523,0.0478,0.0495,0.0527,0.0552,0.0652,0.0853,0.109,0.1194,0.1478,0.1535,0.1555,0.1553,0.1546,0.155,0.1654,0.1686,0.1703,0.1706,0.1717
KM,0.0451,0.0489,0.0432,0.0416,0.0417,0.0395,0.040999999999999995,0.0413,0.0403,0.0385,0.0391,0.0597,0.0785,0.1396,0.1564,0.1543,0.1579,0.155,0.1556,0.1532,0.1486,0.1608,0.1585,0.1642
NFLX,0.0407,0.0467,0.0408,0.0407,0.0398,0.0417,0.0586,0.1063,0.1718,0.1885,0.1801,0.1871,0.1876,0.1846,0.1747,0.1713,0.1714,0.1699,0.1766,0.172,0.1782,0.1797,0.17800000000000002,0.1686
SS,0.0403,0.0493,0.0441,0.0423,0.0391,0.0369,0.0372,0.0382,0.0394,0.0371,0.0383,0.0518,0.0632,0.1007,0.1174,0.1332,0.1486,0.1605,0.1687,0.172,0.171,0.1762,0.1711,0.1593
PLM,0.0406,0.0562,0.1102,0.2046,0.2096,0.1845,0.1758,0.17300000000000001,0.1776,0.1755,0.1873,0.18899999999999997,0.1821,0.1897,0.1862,0.1832,0.1869,0.1803,0.1898,0.1789,0.1825,0.1831,0.1772,0.166
NQO,0.0392,0.0494,0.0427,0.0418,0.0393,0.0377,0.039,0.0379,0.0392,0.0391,0.0784,0.1474,0.1576,0.162,0.1711,0.1713,0.1758,0.1715,0.187,0.1809,0.1785,0.1788,0.1774,0.162
SDC,0.0422,0.0525,0.043,0.0439,0.0406,0.04,0.0397,0.0397,0.0396,0.0378,0.0381,0.0392,0.0389,0.0391,0.0398,0.0438,0.0565,0.0929,0.1572,0.1536,0.17300000000000001,0.1764,0.1717,0.1623
MMC,0.0485,0.059000000000000004,0.0518,0.052000000000000005,0.048,0.0482,0.0517,0.0739,0.2005,0.1969,0.1791,0.1764,0.1786,0.177,0.1732,0.1704,0.1641,0.1624,0.1682,0.1659,0.1671,0.1723,0.1659,0.1594
