,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0413,0.067,0.0628,0.064,0.0566,0.0569,0.0554,0.0505,0.0512,0.0463,0.0461,0.0476,0.0476,0.0498,0.0587,0.0831,0.1042,0.1212,0.1516,0.1807,0.1833,0.1828,0.1794,0.1805
KM,0.0404,0.0505,0.0459,0.0442,0.0402,0.0403,0.0391,0.039,0.0401,0.0395,0.0398,0.0448,0.0438,0.0832,0.1628,0.1768,0.1708,0.1674,0.1745,0.1723,0.1666,0.1682,0.1727,0.1766
NFLX,0.0387,0.0489,0.045,0.0431,0.04,0.0415,0.037000000000000005,0.0374,0.0376,0.0369,0.0369,0.0391,0.0378,0.0406,0.0431,0.0779,0.111,0.204,0.1873,0.1854,0.1902,0.1882,0.1838,0.1747
SS,0.0388,0.0496,0.0451,0.0424,0.0392,0.0375,0.036000000000000004,0.0383,0.0376,0.0375,0.0365,0.0408,0.0448,0.1036,0.1433,0.1519,0.1583,0.1627,0.1858,0.1839,0.1857,0.1896,0.19,0.1732
PLM,0.0399,0.0533,0.0455,0.0429,0.0409,0.039,0.0388,0.0778,0.2469,0.2223,0.212,0.1947,0.1885,0.1826,0.1711,0.1677,0.1683,0.166,0.1803,0.1812,0.1773,0.1756,0.1782,0.1659
NQO,0.0396,0.0468,0.0419,0.0407,0.0398,0.0388,0.0357,0.0513,0.1374,0.1745,0.1689,0.1737,0.1779,0.1739,0.1697,0.1747,0.1734,0.1691,0.1825,0.1855,0.1832,0.1796,0.1749,0.1617
SDC,0.0418,0.051,0.0448,0.0424,0.0415,0.04,0.0378,0.0385,0.0383,0.0385,0.0367,0.038,0.0376,0.0392,0.0392,0.0499,0.0646,0.1132,0.1809,0.1834,0.1844,0.1817,0.1732,0.1613
MMC,0.0424,0.0586,0.0569,0.0552,0.0493,0.0471,0.0603,0.2025,0.2111,0.1767,0.1708,0.1693,0.1751,0.1697,0.1687,0.1646,0.1601,0.1588,0.163,0.1626,0.1692,0.1682,0.1682,0.1611
