,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.04,0.0657,0.0703,0.0756,0.0655,0.0622,0.0606,0.0563,0.0526,0.0476,0.0508,0.0513,0.0538,0.0575,0.0657,0.0716,0.08,0.0896,0.1057,0.1248,0.1464,0.1492,0.1517,0.1741
KM,0.0417,0.0406,0.0367,0.0396,0.0371,0.0384,0.0385,0.0401,0.0539,0.0893,0.1105,0.1454,0.1472,0.1508,0.1559,0.1552,0.1572,0.1495,0.1543,0.1531,0.1579,0.1591,0.1621,0.1651
NFLX,0.0395,0.0418,0.0379,0.0391,0.0388,0.0397,0.0387,0.0425,0.0596,0.0853,0.1705,0.1967,0.1949,0.1844,0.1822,0.1843,0.1897,0.1786,0.1695,0.1736,0.165,0.1633,0.1646,0.1634
SS,0.0392,0.0426,0.04,0.0405,0.0378,0.0363,0.036000000000000004,0.0367,0.0377,0.0366,0.0373,0.0395,0.0404,0.0841,0.1501,0.1459,0.1497,0.1527,0.1589,0.1505,0.1514,0.1576,0.1576,0.1592
PLM,0.0398,0.0462,0.043,0.042,0.0398,0.0406,0.0383,0.0421,0.0699,0.1756,0.2042,0.2194,0.2015,0.1964,0.1744,0.1683,0.172,0.1688,0.1633,0.1662,0.1667,0.1639,0.1671,0.1641
NQO,0.0381,0.0416,0.0404,0.0413,0.0391,0.038,0.038,0.0385,0.0391,0.039,0.0859,0.1747,0.1814,0.1704,0.161,0.16,0.16,0.1597,0.1625,0.161,0.1634,0.1619,0.1616,0.1669
SDC,0.0402,0.0459,0.0417,0.0436,0.0406,0.0398,0.039,0.0398,0.0383,0.0379,0.0377,0.0386,0.038,0.0388,0.0401,0.0415,0.0511,0.1383,0.1685,0.1609,0.1616,0.163,0.1603,0.1615
MMC,0.0447,0.0542,0.0509,0.0541,0.0548,0.0575,0.1458,0.1768,0.1605,0.1564,0.1596,0.1653,0.1665,0.1703,0.1702,0.1717,0.171,0.1737,0.1649,0.1649,0.1614,0.1672,0.1681,0.1643
