,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0445,0.0454,0.0445,0.0416,0.0401,0.0406,0.0442,0.0429,0.0432,0.0438,0.0438,0.0486,0.0596,0.0771,0.0925,0.1253,0.1454,0.1577,0.1543,0.1634,0.1708,0.1793,0.1782,0.1796
KM,0.0419,0.0391,0.0403,0.0382,0.0378,0.0385,0.0406,0.0414,0.0411,0.0413,0.0427,0.0422,0.0437,0.0477,0.0817,0.1791,0.1863,0.1799,0.1732,0.1776,0.1766,0.1837,0.183,0.1791
NFLX,0.0405,0.039,0.0395,0.039,0.0382,0.039,0.0425,0.0398,0.0424,0.0414,0.0405,0.040999999999999995,0.0426,0.0451,0.0471,0.0891,0.1947,0.1962,0.1879,0.1819,0.1842,0.1854,0.187,0.17800000000000002
SS,0.0406,0.0392,0.0394,0.0398,0.0396,0.0387,0.0427,0.0422,0.0461,0.0416,0.0421,0.0528,0.1126,0.1544,0.1683,0.1781,0.1825,0.196,0.1923,0.1945,0.1967,0.1995,0.1994,0.1745
PLM,0.0429,0.0427,0.0417,0.0409,0.0414,0.0398,0.0446,0.0464,0.0739,0.2442,0.2274,0.2044,0.1966,0.1952,0.1971,0.1997,0.1963,0.1998,0.1929,0.1942,0.1967,0.1969,0.1914,0.1765
NQO,0.0417,0.0385,0.0386,0.0383,0.0387,0.0387,0.0426,0.0422,0.1362,0.1719,0.1801,0.1874,0.1884,0.1944,0.1895,0.1924,0.1935,0.1948,0.1925,0.1943,0.1978,0.1943,0.1923,0.17600000000000002
SDC,0.044000000000000004,0.0436,0.0427,0.0423,0.0422,0.0411,0.0434,0.0408,0.0426,0.0413,0.0401,0.0398,0.0409,0.0528,0.0715,0.1741,0.1918,0.1908,0.1903,0.1938,0.1931,0.1944,0.1942,0.174
MMC,0.0531,0.0603,0.0605,0.0653,0.0638,0.0646,0.0845,0.2494,0.2149,0.1845,0.1774,0.1755,0.1767,0.1774,0.1796,0.1783,0.1812,0.1731,0.1736,0.1774,0.1758,0.1806,0.1757,0.17300000000000001
