,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.045,0.0579,0.0599,0.0525,0.05,0.05,0.0506,0.0491,0.0626,0.0927,0.1199,0.1384,0.1518,0.1583,0.1722,0.1794,0.179,0.1858,0.1944,0.1969,0.1991,0.1945,0.2003,0.2108
KM,0.0432,0.0458,0.0444,0.0432,0.040999999999999995,0.040999999999999995,0.0398,0.0409,0.0409,0.0412,0.045,0.0762,0.1184,0.1565,0.1698,0.1744,0.1797,0.1767,0.1907,0.1941,0.1902,0.1855,0.1972,0.1962
NFLX,0.0402,0.0529,0.0561,0.0713,0.1644,0.1815,0.1804,0.1895,0.1934,0.1812,0.1797,0.1843,0.1858,0.1851,0.1816,0.1747,0.1823,0.1818,0.1895,0.1837,0.1854,0.1932,0.1963,0.2031
SS,0.0407,0.0438,0.0444,0.0435,0.0414,0.0391,0.0384,0.0413,0.040999999999999995,0.0677,0.1312,0.1611,0.1598,0.1679,0.1773,0.1758,0.1804,0.188,0.1952,0.1889,0.1842,0.1873,0.1958,0.1989
PLM,0.0408,0.0483,0.0452,0.0448,0.0428,0.0406,0.0392,0.0532,0.10800000000000001,0.1463,0.1631,0.177,0.1558,0.1711,0.1711,0.1763,0.1696,0.1885,0.1771,0.18100000000000002,0.1952,0.1921,0.1956,0.1935
NQO,0.0411,0.0429,0.0415,0.0418,0.0404,0.0401,0.0372,0.0391,0.0397,0.040999999999999995,0.1714,0.1845,0.1788,0.1781,0.1826,0.1861,0.1867,0.1913,0.1896,0.1916,0.1961,0.2027,0.1949,0.2031
SDC,0.0416,0.048,0.0447,0.0441,0.0417,0.0442,0.0398,0.0408,0.0406,0.0408,0.0387,0.04,0.0398,0.0436,0.0609,0.08800000000000001,0.1243,0.1776,0.2,0.1971,0.1965,0.1969,0.1974,0.1953
MMC,0.0444,0.0542,0.0498,0.0526,0.0469,0.0454,0.0449,0.068,0.1943,0.188,0.1897,0.1865,0.1836,0.1878,0.1908,0.1962,0.1988,0.1974,0.1942,0.1992,0.1974,0.1984,0.1951,0.2054
