,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.046,0.044000000000000004,0.0432,0.0432,0.0404,0.0422,0.0457,0.0462,0.0479,0.0547,0.0692,0.0905,0.1144,0.1357,0.14300000000000002,0.1478,0.1535,0.157,0.1599,0.1746,0.1734,0.1768,0.1769,0.1666
KM,0.0438,0.0404,0.0419,0.0401,0.04,0.0399,0.0433,0.0444,0.0459,0.0482,0.0514,0.0977,0.142,0.1549,0.1473,0.1514,0.1513,0.1531,0.1528,0.1576,0.1607,0.1648,0.163,0.1741
NFLX,0.0432,0.0392,0.0402,0.0397,0.0401,0.0407,0.0471,0.061,0.1053,0.1546,0.20199999999999999,0.1898,0.1826,0.1809,0.1837,0.1849,0.1915,0.1935,0.1838,0.1895,0.1918,0.1938,0.1965,0.1791
SS,0.0425,0.0396,0.2056,0.201,0.0413,0.0416,0.0435,0.0493,0.0444,0.0415,0.0407,0.0417,0.1107,0.055999999999999994,0.1105,0.1519,0.1873,0.1926,0.1884,0.1934,0.1985,0.1882,0.1972,0.1758
PLM,0.0454,0.0457,0.0518,0.1823,0.2302,0.2032,0.2004,0.1967,0.2,0.2073,0.205,0.2082,0.2101,0.2077,0.2072,0.2031,0.2041,0.1973,0.2027,0.1975,0.20199999999999999,0.2028,0.1967,0.1743
NQO,0.0448,0.0402,0.0408,0.0405,0.0417,0.0404,0.0438,0.0462,0.0707,0.1531,0.1642,0.1864,0.1989,0.2019,0.205,0.2047,0.205,0.2015,0.1992,0.1975,0.1994,0.1948,0.1938,0.1739
SDC,0.0495,0.0462,0.0455,0.0455,0.0441,0.0441,0.0464,0.0445,0.0444,0.0428,0.0414,0.043,0.0421,0.0428,0.0533,0.087,0.1676,0.1782,0.1973,0.1991,0.2007,0.2,0.19399999999999998,0.1729
MMC,0.0548,0.0559,0.0547,0.0574,0.0596,0.0656,0.0787,0.0824,0.0854,0.196,0.1883,0.1799,0.1766,0.1841,0.18100000000000002,0.1802,0.1856,0.1707,0.1751,0.1741,0.1765,0.1741,0.1678,0.1551
