,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.044000000000000004,0.0695,0.0737,0.0672,0.0555,0.049,0.0504,0.0494,0.0521,0.0635,0.0784,0.1032,0.1286,0.1603,0.1678,0.1749,0.1758,0.1749,0.1688,0.1721,0.1714,0.1729,0.1832,0.1734
KM,0.0426,0.0386,0.0399,0.04,0.0366,0.0376,0.0402,0.0403,0.0398,0.0387,0.0393,0.0388,0.0396,0.0406,0.0398,0.0621,0.1296,0.1567,0.16399999999999998,0.1657,0.1658,0.1627,0.1707,0.1753
NFLX,0.0395,0.0375,0.039,0.0381,0.0375,0.0399,0.0567,0.0697,0.0708,0.1224,0.1713,0.2,0.1914,0.2076,0.2006,0.2024,0.1976,0.1998,0.1949,0.1976,0.1912,0.1901,0.1872,0.1774
SS,0.0396,0.0388,0.0378,0.0396,0.038,0.0395,0.0403,0.0398,0.0406,0.04,0.0399,0.039,0.0588,0.077,0.1458,0.1454,0.1506,0.1487,0.1491,0.1527,0.1495,0.1506,0.1614,0.1757
PLM,0.042,0.0403,0.0396,0.0396,0.0401,0.04,0.0452,0.0443,0.0487,0.0641,0.1321,0.1734,0.18,0.1875,0.1975,0.184,0.1957,0.1662,0.1774,0.1658,0.2045,0.1589,0.1027,0.1182
NQO,0.0414,0.0388,0.0379,0.038,0.0405,0.0386,0.043,0.0417,0.1777,0.1868,0.19399999999999998,0.1841,0.1782,0.1828,0.1799,0.1798,0.1758,0.1676,0.1658,0.1639,0.16899999999999998,0.1666,0.1747,0.1834
SDC,0.0445,0.0419,0.0423,0.0419,0.0414,0.0396,0.043,0.039,0.0407,0.0389,0.0396,0.0381,0.0395,0.0399,0.0405,0.0416,0.0451,0.0718,0.1467,0.17800000000000002,0.177,0.17,0.1732,0.1811
MMC,0.0511,0.0617,0.0625,0.0643,0.0782,0.21,0.2174,0.1867,0.1828,0.1795,0.1902,0.1847,0.1993,0.19899999999999998,0.1955,0.1936,0.1963,0.1967,0.18600000000000003,0.1906,0.185,0.1927,0.1918,0.1912
