,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0447,0.0793,0.0868,0.0779,0.0695,0.0595,0.0637,0.0633,0.0604,0.0532,0.053,0.106,0.053,0.0508,0.0484,0.0511,0.0516,0.0503,0.0507,0.0657,0.096,0.1312,0.1504,0.1522
KM,0.0414,0.0401,0.0392,0.038,0.0362,0.0405,0.046,0.0469,0.0445,0.0427,0.0457,0.0486,0.0721,0.1142,0.1442,0.1441,0.1466,0.1484,0.1506,0.1512,0.1475,0.1528,0.1554,0.1486
NFLX,0.0403,0.0424,0.0501,0.0646,0.1141,0.1709,0.2073,0.187,0.1772,0.1645,0.1616,0.1624,0.156,0.1564,0.1548,0.1518,0.1481,0.1481,0.1441,0.1434,0.1423,0.1495,0.1488,0.146
SS,0.042,0.0414,0.0404,0.0386,0.0382,0.039,0.0422,0.043,0.0447,0.0496,0.0815,0.1093,0.1226,0.1476,0.1537,0.1465,0.1549,0.1572,0.1522,0.152,0.154,0.1533,0.1545,0.1484
PLM,0.0435,0.0441,0.0426,0.0417,0.0391,0.0412,0.043,0.0435,0.0466,0.0428,0.0411,0.0438,0.0541,0.1485,0.1653,0.1566,0.1503,0.1461,0.1416,0.1467,0.1426,0.1462,0.149,0.1478
NQO,0.043,0.0406,0.0413,0.0387,0.0384,0.0402,0.0433,0.0448,0.1343,0.1416,0.1463,0.1588,0.1559,0.1573,0.1482,0.1474,0.1483,0.1483,0.1442,0.1442,0.1437,0.1482,0.1491,0.1478
SDC,0.0441,0.047,0.0452,0.0418,0.0412,0.0418,0.0442,0.0432,0.046,0.0421,0.0422,0.0435,0.0416,0.0423,0.0429,0.0483,0.0666,0.1425,0.146,0.14800000000000002,0.145,0.1482,0.1489,0.1476
MMC,0.0455,0.0504,0.0494,0.0499,0.0629,0.0642,0.0683,0.0882,0.1949,0.2036,0.16699999999999998,0.1616,0.1613,0.16399999999999998,0.1612,0.1576,0.1587,0.1549,0.1516,0.1516,0.1531,0.1536,0.1522,0.1475
