,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0455,0.0774,0.0722,0.0641,0.0592,0.0546,0.0551,0.0504,0.0493,0.0477,0.0464,0.0508,0.0501,0.0516,0.0522,0.0592,0.0704,0.0808,0.1014,0.121,0.1443,0.1612,0.1689,0.1826
KM,0.0434,0.0479,0.0472,0.0446,0.0426,0.0461,0.0486,0.06,0.0859,0.1192,0.14400000000000002,0.1673,0.1662,0.1664,0.171,0.1688,0.1607,0.1652,0.1736,0.1671,0.1734,0.1701,0.1728,0.179
NFLX,0.0404,0.0439,0.0454,0.0441,0.0437,0.0443,0.0493,0.0561,0.0631,0.0622,0.0575,0.0579,0.0532,0.0512,0.0517,0.0497,0.049,0.0533,0.0597,0.076,0.1132,0.187,0.2097,0.1749
SS,0.0406,0.0447,0.0459,0.0447,0.040999999999999995,0.0414,0.0388,0.0413,0.0412,0.0392,0.0397,0.0402,0.040999999999999995,0.075,0.1454,0.162,0.1672,0.1732,0.1733,0.1794,0.1752,0.1788,0.1755,0.1774
PLM,0.0411,0.0485,0.0477,0.0472,0.0438,0.0414,0.0416,0.0444,0.0439,0.0428,0.0442,0.052000000000000005,0.0702,0.1712,0.1852,0.1859,0.1862,0.1864,0.1816,0.1819,0.1832,0.1839,0.1762,0.1744
NQO,0.0405,0.0438,0.0431,0.0429,0.0423,0.0414,0.0403,0.0399,0.0408,0.0394,0.0396,0.0407,0.0401,0.046,0.0947,0.1668,0.1742,0.1776,0.1736,0.1738,0.174,0.1782,0.1748,0.1742
SDC,0.0412,0.0463,0.0439,0.044000000000000004,0.042,0.0429,0.0403,0.0413,0.0415,0.0397,0.0395,0.0412,0.0398,0.0419,0.0408,0.0406,0.0413,0.0443,0.0533,0.1198,0.1791,0.1765,0.1767,0.1748
MMC,0.0436,0.0569,0.0548,0.0584,0.0511,0.0555,0.0464,0.0474,0.0503,0.047,0.0498,0.0557,0.0478,0.0509,0.0703,0.1371,0.2035,0.2075,0.2004,0.1989,0.1903,0.1806,0.1764,0.1769
