,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0482,0.0559,0.0501,0.0484,0.0441,0.0429,0.0431,0.0426,0.0473,0.0498,0.0595,0.0701,0.0861,0.1055,0.1353,0.1484,0.15,0.1486,0.1476,0.1509,0.15,0.1555,0.1628,0.1718
KM,0.0428,0.0467,0.0419,0.0428,0.0409,0.0396,0.0533,0.0705,0.0957,0.1086,0.1253,0.1369,0.1365,0.1364,0.1331,0.1419,0.1418,0.1383,0.1439,0.1447,0.1468,0.1476,0.1481,0.1531
NFLX,0.0427,0.0468,0.043,0.0428,0.0404,0.039,0.0408,0.0468,0.0654,0.125,0.1478,0.1497,0.1598,0.1456,0.1462,0.1454,0.1425,0.1443,0.1471,0.1537,0.15,0.1552,0.1528,0.1649
SS,0.0434,0.0467,0.0451,0.0443,0.042,0.04,0.0389,0.0389,0.0395,0.0392,0.0393,0.0446,0.043,0.0454,0.0797,0.1282,0.135,0.1382,0.1372,0.141,0.1482,0.1517,0.1628,0.1726
PLM,0.0442,0.0494,0.0457,0.0449,0.0479,0.1039,0.1607,0.1628,0.1459,0.1463,0.1302,0.1391,0.1391,0.1358,0.1334,0.134,0.1305,0.1292,0.135,0.1362,0.1398,0.1417,0.1488,0.1607
NQO,0.0441,0.0441,0.0428,0.0427,0.0428,0.04,0.0373,0.0376,0.0402,0.0382,0.0385,0.0382,0.0388,0.0396,0.1297,0.1368,0.1303,0.1403,0.1345,0.1356,0.1386,0.1388,0.1429,0.1601
SDC,0.0477,0.0499,0.0453,0.0449,0.0437,0.0417,0.0404,0.0392,0.0414,0.0395,0.0386,0.0389,0.0399,0.04,0.0388,0.0411,0.0443,0.0585,0.1277,0.1391,0.1425,0.1477,0.1448,0.1529
MMC,0.0474,0.0557,0.0562,0.0594,0.0551,0.0531,0.0515,0.0828,0.1874,0.1686,0.1624,0.1615,0.159,0.1567,0.1452,0.1467,0.1506,0.1551,0.1498,0.1554,0.1561,0.1583,0.1527,0.163
