,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TET,0.0447,0.0652,0.0678,0.0693,0.0621,0.0507,0.0521,0.0488,0.0469,0.047,0.0472,0.045,0.0449,0.0467,0.055,0.0714,0.1215,0.14,0.1351,0.1369,0.1328,0.1368,0.1435,0.1602
KM,0.0425,0.0512,0.1085,0.1624,0.1592,0.1494,0.1426,0.1386,0.1329,0.1348,0.1347,0.1355,0.1319,0.1325,0.1331,0.1329,0.1359,0.1341,0.1344,0.1364,0.1341,0.1355,0.1391,0.1555
NFLX,0.0412,0.0414,0.0383,0.0368,0.0364,0.0404,0.0396,0.0395,0.039,0.0379,0.0377,0.0374,0.0384,0.0407,0.0419,0.0435,0.0559,0.1344,0.1597,0.175,0.1751,0.1641,0.1594,0.1552
SS,0.0403,0.0423,0.1381,0.039,0.0382,0.0392,0.0399,0.04,0.0417,0.0396,0.040999999999999995,0.0516,0.1268,0.1215,0.1255,0.1324,0.1363,0.1366,0.1328,0.1355,0.1343,0.139,0.1415,0.1543
PLM,0.0415,0.0449,0.040999999999999995,0.0639,0.2003,0.2081,0.2061,0.1823,0.165,0.1554,0.1434,0.1417,0.1419,0.1407,0.1403,0.1377,0.139,0.13699999999999998,0.136,0.1378,0.1358,0.1401,0.1424,0.1601
NQO,0.0418,0.0418,0.0375,0.0381,0.0374,0.0386,0.0652,0.15,0.1486,0.1384,0.1345,0.1386,0.1352,0.1394,0.1354,0.1397,0.1384,0.1393,0.1352,0.1396,0.1375,0.1348,0.13699999999999998,0.1578
SDC,0.0444,0.049,0.0418,0.0428,0.0405,0.0432,0.0425,0.0405,0.0425,0.0396,0.0401,0.039,0.0398,0.0424,0.0555,0.1058,0.1438,0.1478,0.1462,0.1399,0.1368,0.1378,0.1444,0.1613
MMC,0.05,0.0764,0.0698,0.081,0.1838,0.226,0.2055,0.1883,0.1662,0.1678,0.1642,0.17600000000000002,0.1668,0.1656,0.1632,0.1562,0.166,0.1492,0.1552,0.1556,0.1557,0.1579,0.1574,0.1616
